method,macro_domain,sample_count,assessor_calls_mean,assessor_latency_mean,duplicate_url_rate_mean,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,planner_calls_mean,realized_k_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean,search_latency_mean,synthesis_calls_mean,synthesis_latency_mean,tavily_calls_mean,total_latency_mean,total_llm_calls_mean,total_retrieved_context_size_mean,total_synthesis_context_size_mean,unique_domains_mean,unique_urls_mean,assessor_calls_sem,assessor_latency_sem,duplicate_url_rate_sem,fanout_faithfulness_to_user_query_sem,fanout_overpersonalization_risk_sem,fanout_persona_field_use_sem,fanout_query_diversity_sem,fanout_query_specificity_sem,fanout_search_realism_sem,final_actionability_without_overclaiming_sem,final_citation_support_sem,final_contradiction_with_evidence_sem,final_domain_safety_sem,final_evidence_usage_quality_sem,final_groundedness_sem,final_intent_satisfaction_sem,final_missing_constraint_awareness_sem,final_non_genericness_sem,final_overpersonalization_sem,final_personalization_target_use_sem,final_safety_sem,final_specificity_sem,final_uncertainty_calibration_sem,final_unsupported_claim_risk_sem,planner_calls_sem,realized_k_sem,retrieval_constraint_coverage_sem,retrieval_disconfirming_coverage_sem,retrieval_distractor_robustness_sem,retrieval_evidence_relevance_sem,retrieval_result_persona_fit_sem,retrieval_source_quality_sem,retrieval_unsafe_or_overpersonalized_retrieval_risk_sem,search_latency_sem,synthesis_calls_sem,synthesis_latency_sem,tavily_calls_sem,total_latency_sem,total_llm_calls_sem,total_retrieved_context_size_sem,total_synthesis_context_size_sem,unique_domains_sem,unique_urls_sem
adaptive_b4,education,2,1.5000,35.0687,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0387,1.0000,18.9652,3.5000,56.0739,2.5000,24063.5000,23823.0000,14.0000,16.5000,0.5000,5.7582,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3491,0.0000,2.2161,0.5000,6.6251,0.5000,3430.5000,3671.0000,1.0000,1.5000
adaptive_b4,legal_info,3,1.3333,12.0645,0.0667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0799,1.0000,16.1342,3.3333,28.2822,2.3333,13590.6667,12932.0000,14.6667,16.0000,0.3333,5.1732,0.0667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0260,0.0000,1.9184,0.6667,5.7613,0.3333,3270.6050,3893.6949,3.9299,4.0000
adaptive_b4,personal_finance,3,1.0000,7.2669,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7642,1.0000,17.1932,3.3333,25.2297,2.0000,12532.3333,12532.3333,14.3333,16.6667,0.0000,1.0554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3907,0.0000,1.0945,0.6667,1.1157,0.0000,2522.6996,2522.6996,2.1858,3.3333
adaptive_b8,education,2,2.5000,25.2805,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0177,1.0000,26.1237,5.0000,54.4234,3.5000,28751.0000,28119.5000,18.5000,24.0000,0.5000,11.9917,0.0083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5209,0.0000,1.9902,1.0000,14.5027,0.5000,1573.0000,1153.5000,1.5000,5.0000
adaptive_b8,legal_info,3,2.0000,38.0524,0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1411,1.0000,14.9036,3.3333,55.1010,3.0000,13415.0000,12368.0000,15.3333,15.6667,0.5774,14.1220,0.0611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8819,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1706,0.0000,1.8121,0.8819,17.1033,0.5774,3228.0787,3558.3091,4.9103,4.6308
adaptive_b8,personal_finance,3,2.3333,44.2133,0.0095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3024,1.0000,18.0872,4.6667,66.6081,3.3333,21079.3333,20987.3333,18.0000,23.0000,0.6667,10.0139,0.0095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6031,0.0000,2.1308,1.4530,11.1315,0.6667,8654.8550,8565.4710,4.1633,7.0000
fixed_k1,education,24,0.0000,0.0000,0.0000,4.8750,1.0000,1.1667,1.0000,2.2083,4.8333,3.2083,4.5833,1.0000,4.0000,4.3667,4.1167,1.9583,2.6250,2.3333,1.7500,1.8750,4.2917,2.7083,3.6250,1.9792,1.0000,1.0000,1.8750,5.0000,5.0000,3.7500,2.0000,3.6667,5.0000,10.1889,1.0000,9.6191,1.0000,34.0475,2.0000,6438.9583,6438.9583,4.9583,5.0000,0.0000,0.0000,0.0000,0.0915,0.0000,0.0777,0.0000,0.1039,0.0777,0.1804,0.2078,0.0000,0.2949,0.1851,0.2547,0.1853,0.3174,0.2225,0.2775,0.2277,0.2517,0.1949,0.2317,0.2472,0.0000,0.0000,0.2196,0.0000,0.0000,0.3084,0.2170,0.2601,0.0000,0.4459,0.0000,0.2645,0.0000,1.2613,0.0000,902.9361,902.9361,0.0417,0.0000
fixed_k1,legal_info,24,0.0000,0.0000,0.0000,4.7083,1.0000,1.4583,1.0000,2.5833,4.7917,3.1250,4.9167,1.0000,2.5833,4.6250,4.5208,2.3750,3.0417,3.0833,1.5417,2.2083,2.8750,3.0417,3.2500,1.5833,1.0000,1.0000,2.4583,5.0000,5.0000,3.8750,2.8333,3.6250,5.0000,9.1637,1.0000,8.7918,1.0000,32.5542,2.0000,3717.0833,3717.0833,5.0000,5.0000,0.0000,0.0000,0.0000,0.1123,0.0000,0.1201,0.0000,0.1896,0.0847,0.2277,0.0833,0.0000,0.2401,0.1451,0.1578,0.2394,0.2588,0.2548,0.2406,0.3127,0.2196,0.2368,0.2019,0.1896,0.0000,0.0000,0.2251,0.0000,0.0000,0.2431,0.2669,0.1979,0.0000,0.4434,0.0000,0.3057,0.0000,1.1385,0.0000,239.1004,239.1004,0.0000,0.0000
fixed_k1,personal_finance,24,0.0000,0.0000,0.0000,4.4583,1.1250,1.2917,1.0000,2.2500,4.7917,3.3750,4.7917,1.0000,2.7083,4.4167,4.2292,2.4167,3.1250,2.9167,1.1250,2.3333,3.1667,2.9167,3.4583,1.8125,1.0000,1.0000,2.0417,5.0000,5.0000,3.7917,2.0000,4.2500,4.8750,8.8786,1.0000,9.7559,1.0000,34.1853,2.0000,4667.1250,4667.1250,4.8750,5.0000,0.0000,0.0000,0.0000,0.1994,0.1250,0.0948,0.0000,0.1241,0.0847,0.1571,0.1039,0.0000,0.2368,0.1583,0.1805,0.1694,0.2431,0.1989,0.0915,0.2305,0.2383,0.1989,0.1994,0.1671,0.0000,0.0000,0.1532,0.0000,0.0000,0.2251,0.1703,0.1729,0.1250,0.2941,0.0000,0.3506,0.0000,1.2297,0.0000,408.5899,408.5899,0.0915,0.0000
fixed_k2,education,24,0.0000,0.0000,0.0417,4.7083,1.3750,2.7083,2.4583,3.3750,4.6250,3.5417,5.0000,1.0000,4.0000,4.6667,4.5833,2.3333,2.5000,2.9167,1.8750,2.1250,4.2500,3.0833,3.4583,1.5208,1.0000,2.0000,2.7292,5.0000,5.0000,4.0000,3.3333,3.9583,4.9583,10.1889,1.0000,11.2126,2.0000,35.6411,2.0000,10968.7083,10540.4583,9.0417,9.5833,0.0000,0.0000,0.0158,0.1274,0.1682,0.1753,0.1201,0.1787,0.1175,0.1901,0.0000,0.0000,0.3010,0.1113,0.1153,0.2056,0.2758,0.2163,0.2713,0.2196,0.2571,0.1797,0.2406,0.1184,0.0000,0.0000,0.2675,0.0000,0.0000,0.2170,0.2669,0.2039,0.0417,0.4459,0.0000,0.3380,0.0000,1.3359,0.0000,1026.3457,1078.7858,0.2039,0.1583
