method,task_type,sample_count,assessor_calls_mean,assessor_latency_mean,duplicate_url_rate_mean,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,planner_calls_mean,realized_k_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean,search_latency_mean,synthesis_calls_mean,synthesis_latency_mean,tavily_calls_mean,total_latency_mean,total_llm_calls_mean,total_retrieved_context_size_mean,total_synthesis_context_size_mean,unique_domains_mean,unique_urls_mean,assessor_calls_sem,assessor_latency_sem,duplicate_url_rate_sem,fanout_faithfulness_to_user_query_sem,fanout_overpersonalization_risk_sem,fanout_persona_field_use_sem,fanout_query_diversity_sem,fanout_query_specificity_sem,fanout_search_realism_sem,final_actionability_without_overclaiming_sem,final_citation_support_sem,final_contradiction_with_evidence_sem,final_domain_safety_sem,final_evidence_usage_quality_sem,final_groundedness_sem,final_intent_satisfaction_sem,final_missing_constraint_awareness_sem,final_non_genericness_sem,final_overpersonalization_sem,final_personalization_target_use_sem,final_safety_sem,final_specificity_sem,final_uncertainty_calibration_sem,final_unsupported_claim_risk_sem,planner_calls_sem,realized_k_sem,retrieval_constraint_coverage_sem,retrieval_disconfirming_coverage_sem,retrieval_distractor_robustness_sem,retrieval_evidence_relevance_sem,retrieval_result_persona_fit_sem,retrieval_source_quality_sem,retrieval_unsafe_or_overpersonalized_retrieval_risk_sem,search_latency_sem,synthesis_calls_sem,synthesis_latency_sem,tavily_calls_sem,total_latency_sem,total_llm_calls_sem,total_retrieved_context_size_sem,total_synthesis_context_size_sem,unique_domains_sem,unique_urls_sem
adaptive_b4,retrieval_sensitive,5,1.0000,11.1218,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8833,1.0000,16.8188,3.2000,28.8275,2.0000,13870.2000,13378.8000,13.4000,15.2000,0.0000,4.5545,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4899,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6450,0.0000,1.2273,0.4899,5.2731,0.0000,2475.6823,2685.9681,2.3367,2.5768
adaptive_b4,synthesis_sensitive,3,1.6667,24.1743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7309,1.0000,17.9395,3.6667,42.8487,2.6667,19048.3333,19048.3333,16.0000,18.3333,0.3333,9.1448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3692,0.0000,1.6453,0.3333,10.5906,0.3333,4766.0858,4766.0858,0.5774,1.6667
adaptive_b8,retrieval_sensitive,5,2.2000,35.8502,0.0604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3372,1.0000,19.0479,4.4000,58.2396,3.2000,20052.0000,19326.2000,16.2000,21.0000,0.4899,7.8104,0.0356,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6554,0.0000,2.8545,1.0296,10.4406,0.4899,5696.4435,5882.3066,3.2619,5.1575
adaptive_b8,synthesis_sensitive,3,2.3333,39.3690,0.0167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8933,1.0000,18.6601,4.0000,60.9253,3.3333,20241.6667,19891.3333,18.6667,19.6667,0.3333,14.5857,0.0167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4677,0.0000,2.7652,0.5774,12.8210,0.3333,5074.0216,4726.1244,2.7285,2.9059
fixed_k1,retrieval_sensitive,36,0.0000,0.0000,0.0000,4.6389,1.0000,1.3611,1.0000,2.3889,4.8611,3.1667,4.8333,1.0000,3.0000,4.5139,4.3472,2.1667,3.0278,2.9167,1.3889,2.1667,3.3056,2.9444,3.5278,1.7083,1.0000,1.0000,2.2500,5.0000,5.0000,3.7778,2.3333,3.9444,5.0000,9.7389,1.0000,9.0403,1.0000,33.9477,2.0000,5116.8611,5116.8611,4.9167,5.0000,0.0000,0.0000,0.0000,0.1205,0.0000,0.0904,0.0000,0.1396,0.0585,0.1618,0.1016,0.0000,0.2323,0.1283,0.1641,0.1517,0.2373,0.2046,0.1656,0.2127,0.2317,0.1823,0.1847,0.1623,0.0000,0.0000,0.1842,0.0000,0.0000,0.2186,0.2218,0.1591,0.0000,0.3778,0.0000,0.2151,0.0000,0.9664,0.0000,534.2140,534.2140,0.0614,0.0000
fixed_k1,synthesis_sensitive,36,0.0000,0.0000,0.0000,4.7222,1.0833,1.2500,1.0000,2.3056,4.7500,3.3056,4.6944,1.0000,3.1944,4.4250,4.2306,2.3333,2.8333,2.6389,1.5556,2.1111,3.5833,2.8333,3.3611,1.8750,1.0000,1.0000,2.0000,5.0000,5.0000,3.8333,2.2222,3.7500,4.9167,9.0819,1.0000,9.7375,1.0000,33.2436,2.0000,4765.2500,4765.2500,4.9722,5.0000,0.0000,0.0000,0.0000,0.1169,0.0833,0.0732,0.0000,0.0961,0.0732,0.1481,0.1310,0.0000,0.2384,0.1391,0.1678,0.1782,0.2127,0.1744,0.1970,0.2137,0.2007,0.1618,0.1601,0.1718,0.0000,0.0000,0.1491,0.0000,0.0000,0.2051,0.1549,0.1967,0.0833,0.2835,0.0000,0.2874,0.0000,1.0087,0.0000,490.8271,490.8271,0.0278,0.0000
fixed_k2,retrieval_sensitive,36,0.0000,0.0000,0.0306,4.6944,1.2778,2.8611,2.7222,3.5278,4.7222,3.4571,4.9167,1.0000,3.1714,4.7028,4.6750,2.6857,2.9714,3.5714,1.5143,2.6571,3.3143,3.5143,3.4571,1.3611,1.0000,2.0000,3.3056,5.0000,5.0000,4.2500,3.7778,4.1111,4.9722,9.7389,1.0000,10.2428,2.0000,35.1502,2.0000,10028.4722,9756.4444,9.1111,9.6944,0.0000,0.0000,0.0111,0.1040,0.1235,0.1650,0.1235,0.1516,0.0856,0.1606,0.0614,0.0000,0.2110,0.1020,0.1035,0.1776,0.2188,0.1891,0.1939,0.2525,0.2081,0.1804,0.1938,0.1047,0.0000,0.0000,0.2384,0.0000,0.0000,0.1842,0.2186,0.1632,0.0278,0.3778,0.0000,0.2426,0.0000,1.0379,0.0000,693.3766,720.9962,0.1532,0.1114
fixed_k2,synthesis_sensitive,36,0.0000,0.0000,0.0222,4.7778,1.1667,2.7778,2.6944,3.6667,4.8333,3.6667,4.9167,1.0000,3.2500,4.5694,4.4583,2.7778,3.0556,3.3056,1.3333,2.5000,3.5556,3.3333,3.5556,1.5833,1.0000,2.0000,3.0694,5.0000,5.0000,4.3056,3.5556,3.9722,4.9444,9.0819,1.0000,10.9157,2.0000,34.4217,2.0000,9076.9444,8838.7222,9.4167,9.7778,0.0000,0.0000,0.0090,0.0985,0.0845,0.1328,0.1310,0.1436,0.0630,0.1491,0.0614,0.0000,0.2436,0.1076,0.1080,0.1648,0.1950,0.1774,0.1380,0.1890,0.2125,0.1436,0.1616,0.1082,0.0000,0.0000,0.1912,0.0000,0.0000,0.1585,0.1929,0.1568,0.0556,0.2835,0.0000,0.3166,0.0000,1.0419,0.0000,505.6423,516.4446,0.1402,0.0901
fixed_k4,retrieval_sensitive,36,0.0000,0.0000,0.0444,4.8056,1.2222,4.0000,4.7222,4.5833,4.8889,3.7143,5.0000,1.0000,3.2571,4.7722,4.7306,3.0286,3.3714,3.9429,1.3429,3.0857,3.3714,3.8286,3.7714,1.3056,1.0000,4.0000,4.1111,4.1944,4.9167,4.3056,4.1111,4.4444,4.9444,9.7389,1.0000,11.5590,4.0000,36.4664,2.0000,17713.0278,16904.2500,17.0000,19.1111,0.0000,0.0000,0.0089,0.1040,0.1267,0.1737,0.1169,0.1283,0.0531,0.1565,0.0000,0.0000,0.2221,0.0671,0.0700,0.1665,0.1644,0.1687,0.1475,0.2368,0.2173,0.1505,0.1791,0.0753,0.0000,0.0000,0.2137,0.2514,0.0833,0.1634,0.1859,0.1224,0.0556,0.3778,0.0000,0.5071,0.0000,1.1633,0.0000,762.9997,800.5821,0.3261,0.1772
fixed_k4,synthesis_sensitive,36,0.0000,0.0000,0.0361,5.0000,1.0000,4.4167,4.8611,4.8889,5.0000,3.7500,5.0000,1.0000,3.5278,4.9111,4.7861,2.9861,3.3611,3.5833,1.1944,2.8333,3.8333,3.7083,3.7222,1.2639,1.0000,4.0000,3.8889,4.6667,5.0000,4.6389,4.3611,4.3889,5.0000,9.0819,1.0000,12.4411,4.0000,35.9471,2.0000,17384.3333,16723.7222,17.7500,19.2778,0.0000,0.0000,0.0076,0.0000,0.0000,0.1153,0.0812,0.0531,0.0000,0.1457,0.0000,0.0000,0.2163,0.0468,0.0669,0.1649,0.1601,0.1562,0.1114,0.2127,0.1931,0.1442,0.1719,0.0732,0.0000,0.0000,0.1632,0.1594,0.0000,0.1138,0.1389,0.1557,0.0000,0.2835,0.0000,0.4674,0.0000,1.0430,0.0000,689.9009,695.3184,0.3044,0.1523
