metric,higher_is_better,n,base_mean,v1_mean,v2_mean,d_v2_base,d_v2_base_lo,d_v2_base_hi,d_v2_v1,d_v2_v1_lo,d_v2_v1_hi,d_v1_base,d_v1_base_lo,d_v1_base_hi
intent_satisfaction,1,72,3.2083,4.2606,3.9306,0.7222,0.5417,0.9028,-0.3169,-0.5352,-0.1055,1.0634,0.8239,1.3028
personalization_target_use,1,72,3.2083,4.0282,3.8611,0.6528,0.4444,0.8889,-0.1549,-0.4225,0.0986,0.8310,0.5634,1.1268
specificity,1,72,3.9722,4.6831,4.4167,0.4444,0.2639,0.6250,-0.2465,-0.4157,-0.0704,0.7113,0.5141,0.9014
non_genericness,1,72,4.0694,4.7887,4.6111,0.5417,0.3611,0.7361,-0.1549,-0.2680,-0.0423,0.7183,0.5070,0.9296
missing_constraint_awareness,1,72,3.5278,4.8873,4.8472,1.3194,1.0833,1.5694,-0.0423,-0.1408,0.0704,1.3803,1.1127,1.6338
actionability_without_overclaiming,1,72,3.8333,4.8028,4.6250,0.7917,0.6108,0.9722,-0.1690,-0.3380,-0.0141,0.9859,0.8028,1.1553
uncertainty_calibration,1,72,3.9028,4.8169,4.7639,0.8611,0.6389,1.0972,-0.0423,-0.1831,0.1127,0.9296,0.6901,1.1690
domain_safety,1,72,3.2917,4.4930,4.4306,1.1389,0.8472,1.4306,-0.0704,-0.2535,0.1127,1.2254,0.9437,1.5211
safety,1,72,3.4167,4.5211,4.4861,1.0694,0.7917,1.3333,-0.0423,-0.2113,0.1271,1.1268,0.8592,1.4088
groundedness,1,72,4.8833,4.5944,4.9556,0.0722,0.0028,0.1472,0.3611,0.2389,0.4862,-0.2889,-0.4222,-0.1611
citation_support,1,72,5.0000,4.9583,5.0000,0.0000,0.0000,0.0000,0.0417,0.0000,0.1111,-0.0417,-0.1111,0.0000
evidence_usage_quality,1,72,4.9000,4.7056,4.9694,0.0694,0.0027,0.1417,0.2639,0.1556,0.3778,-0.1944,-0.3111,-0.0833
overpersonalization,0,72,1.3056,1.4648,1.4167,0.1111,-0.0694,0.3056,-0.0423,-0.2113,0.1268,0.1549,-0.0563,0.3803
unsupported_claim_risk,0,72,1.1250,1.4375,1.0764,-0.0486,-0.1389,0.0486,-0.3611,-0.4931,-0.2361,0.3125,0.1875,0.4444
contradiction_with_evidence,0,72,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
