comparison,metric,sample_count,mean_paired_diff,sem,median_paired_diff,ci95_low,ci95_high,pct_improved,pct_unchanged,pct_worsened,higher_is_better
t3_to_t4,final_intent_satisfaction,72,0.0000,0.0559,0.0000,-0.1111,0.1111,9.72,81.94,8.33,1
t3_to_t4,final_specificity,72,-0.0278,0.0522,0.0000,-0.1253,0.0694,6.94,84.72,8.33,1
t3_to_t4,final_non_genericness,72,0.0556,0.0622,0.0000,-0.0694,0.1806,12.50,80.56,6.94,1
t3_to_t4,final_personalization_target_use,72,0.0556,0.0813,0.0000,-0.0972,0.2222,11.11,80.56,8.33,1
t3_to_t4,final_missing_constraint_awareness,72,-0.0556,0.0837,0.0000,-0.2222,0.1111,12.50,73.61,13.89,1
t3_to_t4,final_actionability_without_overclaiming,72,-0.1250,0.0591,0.0000,-0.2361,-0.0139,4.17,81.94,13.89,1
t3_to_t4,final_uncertainty_calibration,72,-0.0972,0.0718,0.0000,-0.2365,0.0278,8.33,77.78,13.89,1
t3_to_t4,final_groundedness,72,0.0528,0.0259,0.0000,0.0111,0.1056,5.56,94.44,0.00,1
t3_to_t4,final_citation_support,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00,1
t3_to_t4,final_evidence_usage_quality,72,0.0111,0.0301,0.0000,-0.0444,0.0694,4.17,93.06,2.78,1
t3_to_t4,retrieval_evidence_relevance,72,0.0278,0.0483,0.0000,-0.0694,0.1250,6.94,87.50,5.56,1
t3_to_t4,retrieval_constraint_coverage,72,0.1250,0.0711,0.0000,0.0000,0.2778,12.50,81.94,5.56,1
t3_to_t4,retrieval_result_persona_fit,72,0.0833,0.0551,0.0000,-0.0139,0.1944,9.72,86.11,4.17,1
t3_to_t4,retrieval_source_quality,72,0.1528,0.0582,0.0000,0.0417,0.2639,15.28,81.94,2.78,1
t3_to_t4,final_overpersonalization,72,0.1111,0.0544,0.0000,0.0139,0.2222,6.94,93.06,0.00,0
t3_to_t4,final_unsupported_claim_risk,72,-0.0486,0.0245,0.0000,-0.0972,-0.0069,0.00,94.44,5.56,0
t3_to_t4,retrieval_unsafe_or_overpersonalized_retrieval_risk,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00,0
t4_to_t5,final_intent_satisfaction,72,0.0347,0.0612,0.0000,-0.0833,0.1528,8.33,84.72,6.94,1
t4_to_t5,final_specificity,72,0.0417,0.0608,0.0000,-0.0833,0.1667,15.28,73.61,11.11,1
t4_to_t5,final_non_genericness,72,0.0972,0.0744,0.0000,-0.0417,0.2500,15.28,75.00,9.72,1
t4_to_t5,final_personalization_target_use,72,0.0556,0.1045,0.0000,-0.1389,0.2639,13.89,72.22,13.89,1
t4_to_t5,final_missing_constraint_awareness,72,0.0556,0.0813,0.0000,-0.0972,0.2083,16.67,69.44,13.89,1
t4_to_t5,final_actionability_without_overclaiming,72,0.0347,0.0579,0.0000,-0.0833,0.1458,9.72,83.33,6.94,1
t4_to_t5,final_uncertainty_calibration,72,0.0417,0.0647,0.0000,-0.0766,0.1736,11.11,80.56,8.33,1
t4_to_t5,final_groundedness,72,0.0278,0.0343,0.0000,-0.0390,0.0944,6.94,88.89,4.17,1
t4_to_t5,final_citation_support,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00,1
t4_to_t5,final_evidence_usage_quality,72,0.0167,0.0371,0.0000,-0.0556,0.0889,6.94,88.89,4.17,1
t4_to_t5,retrieval_evidence_relevance,72,0.0833,0.0551,0.0000,-0.0139,0.1944,8.33,88.89,2.78,1
t4_to_t5,retrieval_constraint_coverage,72,0.0694,0.0694,0.0000,-0.0556,0.2222,6.94,90.28,2.78,1
t4_to_t5,retrieval_result_persona_fit,72,0.0139,0.0671,0.0000,-0.1111,0.1528,8.33,83.33,8.33,1
t4_to_t5,retrieval_source_quality,72,0.0417,0.0575,0.0000,-0.0694,0.1528,11.11,80.56,8.33,1
t4_to_t5,final_overpersonalization,72,-0.0972,0.0661,0.0000,-0.2222,0.0278,2.78,88.89,8.33,0
t4_to_t5,final_unsupported_claim_risk,72,-0.0417,0.0428,0.0000,-0.1319,0.0347,4.17,88.89,6.94,0
t4_to_t5,retrieval_unsafe_or_overpersonalized_retrieval_risk,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00,0
t3_to_t5,final_intent_satisfaction,72,0.0347,0.0829,0.0000,-0.1181,0.2016,13.89,73.61,12.50,1
t3_to_t5,final_specificity,72,0.0139,0.0671,0.0000,-0.1111,0.1389,16.67,68.06,15.28,1
t3_to_t5,final_non_genericness,72,0.1528,0.0942,0.0000,-0.0278,0.3472,20.83,69.44,9.72,1
t3_to_t5,final_personalization_target_use,72,0.1111,0.1275,0.0000,-0.1389,0.3750,19.44,66.67,13.89,1
t3_to_t5,final_missing_constraint_awareness,72,0.0000,0.1047,0.0000,-0.1944,0.2222,18.06,65.28,16.67,1
t3_to_t5,final_actionability_without_overclaiming,72,-0.0903,0.0787,0.0000,-0.2432,0.0625,11.11,70.83,18.06,1
