comparison,metric,higher_is_better,mean_paired_diff,ci95_low,ci95_high
t3_to_t4,final_intent_satisfaction,1,0.0070,-0.0986,0.1127
t3_to_t4,final_personalization_target_use,1,-0.0986,-0.2817,0.0704
t3_to_t4,final_specificity,1,0.0704,-0.0282,0.1831
t3_to_t4,final_non_genericness,1,0.0000,-0.0845,0.0845
t3_to_t4,final_missing_constraint_awareness,1,-0.0141,-0.0704,0.0423
t3_to_t4,final_actionability_without_overclaiming,1,-0.0141,-0.0845,0.0563
t3_to_t4,final_uncertainty_calibration,1,-0.0141,-0.0845,0.0423
t3_to_t4,final_domain_safety,1,0.0070,-0.1479,0.1620
t3_to_t4,final_safety,1,-0.1056,-0.2676,0.0563
t3_to_t4,final_groundedness,1,0.0556,0.0000,0.1250
t3_to_t4,final_citation_support,1,0.0000,0.0000,0.0000
t3_to_t4,final_evidence_usage_quality,1,0.0417,0.0000,0.0972
t3_to_t4,retrieval_evidence_relevance,1,0.0833,0.0000,0.1806
t3_to_t4,retrieval_constraint_coverage,1,0.0972,-0.0417,0.2500
t3_to_t4,retrieval_result_persona_fit,1,0.1319,0.0139,0.2639
t3_to_t4,retrieval_source_quality,1,0.1667,0.0694,0.2778
t3_to_t4,final_overpersonalization,0,0.0282,-0.1549,0.1972
t3_to_t4,final_unsupported_claim_risk,0,-0.0694,-0.1528,0.0000
t4_to_t5,final_intent_satisfaction,1,0.0500,-0.0929,0.2000
t4_to_t5,final_personalization_target_use,1,0.1000,-0.0857,0.3143
t4_to_t5,final_specificity,1,-0.0143,-0.1286,0.1000
t4_to_t5,final_non_genericness,1,0.0286,-0.0714,0.1429
t4_to_t5,final_missing_constraint_awareness,1,0.0571,-0.0143,0.1429
t4_to_t5,final_actionability_without_overclaiming,1,0.0000,-0.1000,0.1000
t4_to_t5,final_uncertainty_calibration,1,0.0571,-0.0286,0.1571
t4_to_t5,final_domain_safety,1,-0.0500,-0.2143,0.1143
t4_to_t5,final_safety,1,0.0214,-0.1214,0.1786
t4_to_t5,final_groundedness,1,0.0278,-0.0417,0.0972
t4_to_t5,final_citation_support,1,0.0000,0.0000,0.0000
t4_to_t5,final_evidence_usage_quality,1,0.0139,-0.0278,0.0694
t4_to_t5,retrieval_evidence_relevance,1,0.0694,-0.0278,0.1944
t4_to_t5,retrieval_constraint_coverage,1,0.0278,-0.1111,0.1944
t4_to_t5,retrieval_result_persona_fit,1,0.0278,-0.1111,0.1667
t4_to_t5,retrieval_source_quality,1,0.0417,-0.0556,0.1528
t4_to_t5,final_overpersonalization,0,-0.0429,-0.1714,0.0714
t4_to_t5,final_unsupported_claim_risk,0,0.0139,-0.0556,0.0833
t3_to_t5,final_intent_satisfaction,1,0.0571,-0.1000,0.2143
t3_to_t5,final_personalization_target_use,1,0.0000,-0.2286,0.2286
t3_to_t5,final_specificity,1,0.0571,-0.0857,0.2000
t3_to_t5,final_non_genericness,1,0.0286,-0.0857,0.1286
t3_to_t5,final_missing_constraint_awareness,1,0.0429,-0.0286,0.1143
t3_to_t5,final_actionability_without_overclaiming,1,-0.0143,-0.1289,0.1000
t3_to_t5,final_uncertainty_calibration,1,0.0429,-0.0571,0.1571
t3_to_t5,final_domain_safety,1,-0.0429,-0.2289,0.1286
t3_to_t5,final_safety,1,-0.0857,-0.2714,0.0857
t3_to_t5,final_groundedness,1,0.0833,0.0000,0.1667
t3_to_t5,final_citation_support,1,0.0000,0.0000,0.0000
t3_to_t5,final_evidence_usage_quality,1,0.0556,0.0000,0.1250
t3_to_t5,retrieval_evidence_relevance,1,0.1528,0.0417,0.2917
t3_to_t5,retrieval_constraint_coverage,1,0.1250,-0.0556,0.3333
t3_to_t5,retrieval_result_persona_fit,1,0.1597,-0.0208,0.3472
t3_to_t5,retrieval_source_quality,1,0.2083,0.0694,0.3611
t3_to_t5,final_overpersonalization,0,-0.0143,-0.2286,0.1714
t3_to_t5,final_unsupported_claim_risk,0,-0.0556,-0.1528,0.0278
