analysis_group,group_type,method,sample_count,requested_k,realized_mean_k,mean_tavily_calls,mean_unique_urls,mean_unique_domains,duplicate_url_rate,mean_synthesis_context_size,mean_planner_calls,mean_synthesis_calls,mean_search_latency,mean_total_latency,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean
current_rule_limit_lookup,task_category,fixed_k1,6,1,1.00,1.00,5.00,4.50,0.0000,6889.3,1.00,1.00,8.73,33.56,4.6667,1.0000,1.1667,1.0000,2.1667,5.0000,3.0000,5.0000,1.0000,2.8333,4.8333,4.6667,2.3333,2.8333,3.5000,1.5000,2.6667,3.0000,3.3333,3.1667,1.5000,2.0000,5.0000,5.0000,3.1667,1.6667,4.1667,5.0000
current_rule_limit_lookup,task_category,fixed_k2,6,2,2.00,2.00,10.00,8.83,0.0000,10900.2,1.00,1.00,8.73,34.21,4.3333,1.6667,2.6667,2.6667,3.1667,4.6667,3.6000,4.8333,1.0000,3.0000,4.6333,4.6333,3.0000,4.0000,4.2000,1.4000,3.6000,3.2000,4.0000,3.8000,1.4167,3.3333,5.0000,5.0000,4.1667,3.6667,4.3333,5.0000
current_rule_limit_lookup,task_category,fixed_k4,6,4,4.00,4.00,18.83,15.33,0.0000,17298.8,1.00,1.00,8.73,36.20,4.5000,1.3333,3.8333,4.5000,4.1667,4.8333,3.5000,5.0000,1.0000,3.0000,4.8333,4.5833,3.1667,3.8333,4.1667,1.0000,3.8333,3.1667,4.0000,3.8333,1.5000,3.8333,4.5000,5.0000,4.1667,4.0000,4.8333,5.0000
current_rule_limit_lookup,task_category,fixed_k8,6,8,8.00,8.00,36.67,27.33,0.0000,31035.3,1.00,1.00,8.73,39.36,4.3333,1.5000,4.3333,4.6667,4.5000,4.8333,3.5000,5.0000,1.0000,3.1667,5.0000,5.0000,3.1667,4.0000,4.0000,1.0000,3.6667,3.3333,4.0000,3.8333,1.0000,3.8333,4.6667,5.0000,4.3333,4.3333,4.8333,5.0000
education,macro_domain,fixed_k1,24,1,1.00,1.00,5.00,4.96,0.0000,6439.0,1.00,1.00,10.19,34.05,4.8750,1.0000,1.1667,1.0000,2.2083,4.8333,3.2083,4.5833,1.0000,4.0000,4.3667,4.1167,1.9583,2.6250,2.3333,1.7500,1.8750,4.2917,2.7083,3.6250,1.9792,1.8750,5.0000,5.0000,3.7500,2.0000,3.6667,5.0000
education,macro_domain,fixed_k2,24,2,2.00,2.00,9.58,9.04,0.0000,10540.5,1.00,1.00,10.19,35.64,4.7083,1.3750,2.7083,2.4583,3.3750,4.6250,3.5417,5.0000,1.0000,4.0000,4.6667,4.5833,2.3333,2.5000,2.9167,1.8750,2.1250,4.2500,3.0833,3.4583,1.5208,2.7292,5.0000,5.0000,4.0000,3.3333,3.9583,4.9583
education,macro_domain,fixed_k4,24,4,4.00,4.00,19.29,16.96,0.0000,18951.0,1.00,1.00,10.19,37.32,4.9167,1.1250,4.4583,4.8333,4.7500,4.9167,4.0417,5.0000,1.0000,4.1250,4.7833,4.6792,2.8542,3.5000,3.4583,1.5417,2.7500,4.4167,3.6458,4.0417,1.3750,3.6667,3.7500,5.0000,4.0000,3.9167,4.0833,5.0000
education,macro_domain,fixed_k8,24,8,8.00,8.00,38.46,30.83,0.0000,36137.1,1.00,1.00,10.19,43.31,4.9583,1.2083,4.6667,5.0000,5.0000,5.0000,4.2500,5.0000,1.0000,4.3333,4.8750,4.8750,3.4167,3.7917,4.0417,1.6250,3.2083,4.6250,4.0000,4.2917,1.1667,3.8542,3.5833,4.9583,3.9375,4.2500,4.1042,5.0000
financial_concept_explanation,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,4075.8,1.00,1.00,8.55,37.49,4.1667,1.5000,1.6667,1.0000,2.5000,4.8333,3.6667,4.6667,1.0000,3.1667,4.3333,4.0833,2.5000,3.5000,3.0000,1.0000,2.3333,3.6667,3.0000,3.6667,1.9167,1.8333,5.0000,5.0000,3.8333,2.3333,4.8333,4.5000
financial_concept_explanation,task_category,fixed_k2,6,2,2.00,2.00,9.67,9.67,0.0000,7905.8,1.00,1.00,8.55,36.84,4.6667,1.3333,3.0000,3.1667,3.8333,5.0000,4.1667,5.0000,1.0000,3.1667,4.5000,4.5000,3.1667,3.6667,3.8333,1.0000,3.0000,3.5000,3.8333,4.0000,1.5000,3.5000,5.0000,5.0000,4.8333,3.6667,4.8333,4.6667
financial_concept_explanation,task_category,fixed_k4,6,4,4.00,4.00,19.00,17.50,0.0000,16830.3,1.00,1.00,8.55,40.59,5.0000,1.0000,4.6667,5.0000,5.0000,5.0000,4.1667,5.0000,1.0000,3.5000,4.8333,4.6667,3.5000,3.5000,3.8333,1.0000,3.6667,3.8333,4.1667,4.1667,1.3333,4.5000,5.0000,5.0000,5.0000,4.6667,4.8333,5.0000
financial_concept_explanation,task_category,fixed_k8,6,8,8.00,8.00,35.67,30.83,0.0000,29515.0,1.00,1.00,8.55,41.81,5.0000,1.0000,5.0000,5.0000,5.0000,5.0000,4.2500,5.0000,1.0000,3.8333,5.0000,5.0000,3.7500,3.6667,4.0833,1.0000,4.0000,3.8333,4.4167,4.5000,1.0000,5.0000,5.0000,5.0000,5.0000,5.0000,4.8333,5.0000
financial_decision_strategy,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,3029.0,1.00,1.00,8.90,31.06,5.0000,1.0000,1.3333,1.0000,2.3333,4.8333,3.6667,5.0000,1.0000,2.5000,4.5000,4.3333,2.6667,2.8333,2.8333,1.0000,2.3333,3.0000,3.0000,3.3333,1.6667,2.1667,5.0000,5.0000,4.5000,2.0000,3.6667,5.0000
financial_decision_strategy,task_category,fixed_k2,6,2,2.00,2.00,10.00,9.67,0.0000,8531.5,1.00,1.00,8.90,31.87,4.8333,1.0000,2.8333,2.6667,4.0000,4.8333,3.8333,4.8333,1.0000,2.8333,4.1667,4.0000,3.1667,3.1667,3.6667,1.0000,2.8333,3.0000,3.5000,3.5000,2.0000,4.0000,5.0000,5.0000,4.8333,4.1667,4.3333,5.0000
financial_decision_strategy,task_category,fixed_k4,6,4,4.00,4.00,18.50,17.50,0.0000,14113.3,1.00,1.00,8.90,33.16,5.0000,1.0000,4.5000,5.0000,4.8333,5.0000,3.6667,5.0000,1.0000,2.8333,4.9667,4.8000,3.1667,3.0000,3.8333,1.0000,3.0000,3.1667,4.0000,3.1667,1.4167,4.0000,4.5000,5.0000,5.0000,4.1667,4.5000,5.0000
financial_decision_strategy,task_category,fixed_k8,6,8,8.00,8.00,35.83,30.67,0.0000,29139.8,1.00,1.00,8.90,37.93,4.8333,1.3333,4.3333,4.6667,4.6667,4.5000,3.6667,5.0000,1.0000,2.8333,4.8333,4.8333,3.5000,3.1667,4.6667,1.5000,3.5000,2.8333,4.6667,3.6667,1.1667,4.6667,5.0000,5.0000,5.0000,4.6667,5.0000,5.0000
form_policy_deadline_lookup,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,3836.8,1.00,1.00,8.06,31.16,4.8333,1.0000,1.6667,1.0000,3.0000,4.8333,3.6667,5.0000,1.0000,2.8333,5.0000,4.8333,2.8333,3.6667,4.0000,1.0000,3.1667,3.0000,3.6667,3.8333,1.1667,3.3333,5.0000,5.0000,4.3333,3.1667,4.1667,5.0000
form_policy_deadline_lookup,task_category,fixed_k2,6,2,2.00,2.00,9.33,8.83,0.0000,6834.5,1.00,1.00,8.06,32.18,4.8333,1.0000,3.5000,3.1667,4.1667,5.0000,3.8333,5.0000,1.0000,2.5000,5.0000,5.0000,3.1667,3.5000,4.1667,1.0000,3.1667,2.6667,3.8333,3.6667,1.0000,4.5000,5.0000,5.0000,5.0000,4.5000,4.3333,5.0000
form_policy_deadline_lookup,task_category,fixed_k4,6,4,4.00,4.00,18.67,17.50,0.0000,13167.7,1.00,1.00,8.06,31.71,5.0000,1.0000,4.0000,4.5000,4.5000,5.0000,3.6000,5.0000,1.0000,2.8000,5.0000,5.0000,3.4000,3.4000,4.4000,1.0000,3.2000,2.8000,4.2000,4.0000,1.0000,4.5000,5.0000,5.0000,4.8333,4.5000,4.6667,5.0000
