
======================================================================
 [STAGE 1/3] BENCHMARK EXECUTION: Generating Plans, Searching & Synthesizing
======================================================================
Total pairs to process: 72 | Methods per pair: ['fixed_k1', 'fixed_k2', 'fixed_k4', 'fixed_k8']
Total planned runs: 288 | Config file: outputs/fixed_fanout_scaling_v2_gemini-3.6-flash/config.yaml

[run_fixed_fanout] processing 72 pairs with 24 workers

--- Processing Pair [1/72] Query ID: q_1 | Persona ID: budget_nonstem_student ---

--- Processing Pair [2/72] Query ID: q_2 | Persona ID: budget_nonstem_student ---

--- Processing Pair [3/72] Query ID: q_3 | Persona ID: budget_highstem_phd ---

--- Processing Pair [4/72] Query ID: q_4 | Persona ID: budget_nonstem_student ---

--- Processing Pair [5/72] Query ID: q_5 | Persona ID: budget_nonstem_student ---

--- Processing Pair [6/72] Query ID: q_6 | Persona ID: budget_highstem_phd ---

--- Processing Pair [7/72] Query ID: q_7 | Persona ID: budget_highstem_phd ---

--- Processing Pair [8/72] Query ID: q_8 | Persona ID: budget_highstem_phd ---

--- Processing Pair [9/72] Query ID: q_9 | Persona ID: modbudget_nonstem_switcher ---

--- Processing Pair [10/72] Query ID: q_10 | Persona ID: modbudget_nonstem_switcher ---

--- Processing Pair [11/72] Query ID: q_11 | Persona ID: modbudget_nonstem_switcher ---

--- Processing Pair [12/72] Query ID: q_12 | Persona ID: modbudget_nonstem_switcher ---

--- Processing Pair [13/72] Query ID: q_13 | Persona ID: highbudget_highstem_pro ---

--- Processing Pair [14/72] Query ID: q_14 | Persona ID: highbudget_highstem_pro ---

--- Processing Pair [15/72] Query ID: q_15 | Persona ID: highbudget_highstem_pro ---

--- Processing Pair [16/72] Query ID: q_16 | Persona ID: highbudget_highstem_pro ---

--- Processing Pair [17/72] Query ID: q_17 | Persona ID: family_modbudget ---

--- Processing Pair [18/72] Query ID: q_18 | Persona ID: family_modbudget ---

--- Processing Pair [19/72] Query ID: q_19 | Persona ID: family_modbudget ---

--- Processing Pair [20/72] Query ID: q_20 | Persona ID: family_modbudget ---

--- Processing Pair [21/72] Query ID: q_21 | Persona ID: intl_newgrad ---

--- Processing Pair [22/72] Query ID: q_22 | Persona ID: intl_newgrad ---

--- Processing Pair [23/72] Query ID: q_23 | Persona ID: intl_newgrad ---

--- Processing Pair [24/72] Query ID: q_24 | Persona ID: intl_newgrad ---
  [SUCCESS] Written run cd489d4e9e84 | method=fixed_k1 (k=1) | latency=22.16s
  [SUCCESS] Written run 521fa8aa6695 | method=fixed_k1 (k=1) | latency=22.45s
  [SUCCESS] Written run 864788fab79c | method=fixed_k1 (k=1) | latency=26.15s
  [SUCCESS] Written run 929a28e3e078 | method=fixed_k1 (k=1) | latency=26.66s
  [SUCCESS] Written run b150031b9fb1 | method=fixed_k1 (k=1) | latency=24.27s
  [SUCCESS] Written run 5ad3b40aba52 | method=fixed_k1 (k=1) | latency=24.83s
  [SUCCESS] Written run 7e985464e53b | method=fixed_k2 (k=2) | latency=31.73s
  [SUCCESS] Written run cd3344ff6f24 | method=fixed_k1 (k=1) | latency=27.41s
  [SUCCESS] Written run 31656d7465dc | method=fixed_k1 (k=1) | latency=28.69s
  [SUCCESS] Written run 6eb6907e42fc | method=fixed_k1 (k=1) | latency=26.81s
  [SUCCESS] Written run eee1f495304d | method=fixed_k1 (k=1) | latency=27.91s
  [SUCCESS] Written run 7a5301feb71b | method=fixed_k1 (k=1) | latency=28.45s
  [SUCCESS] Written run 51d171352e78 | method=fixed_k2 (k=2) | latency=36.03s
  [SUCCESS] Written run 231803e35788 | method=fixed_k1 (k=1) | latency=28.67s
  [SUCCESS] Written run 9e9c38180d88 | method=fixed_k1 (k=1) | latency=30.51s
  [SUCCESS] Written run fd949abf1a51 | method=fixed_k1 (k=1) | latency=33.40s
  [SUCCESS] Written run aeaa990d7c5b | method=fixed_k2 (k=2) | latency=35.95s
  [SUCCESS] Written run 52a5193aede5 | method=fixed_k2 (k=2) | latency=34.98s
  [SUCCESS] Written run ced641ef2046 | method=fixed_k1 (k=1) | latency=32.15s
  [SUCCESS] Written run 3de83dd1e042 | method=fixed_k1 (k=1) | latency=33.11s
  [SUCCESS] Written run bfd93f912cf4 | method=fixed_k1 (k=1) | latency=30.35s
  [SUCCESS] Written run 93ceef7aafc5 | method=fixed_k1 (k=1) | latency=34.69s
  [SUCCESS] Written run 14a62eb45e9a | method=fixed_k1 (k=1) | latency=37.87s
  [SUCCESS] Written run f3e33753ccd0 | method=fixed_k2 (k=2) | latency=40.23s
  [SUCCESS] Written run 3b18f79a74cf | method=fixed_k4 (k=4) | latency=59.20s
  [SUCCESS] Written run 3785d7c95d97 | method=fixed_k2 (k=2) | latency=39.76s
