comparison,metric,sample_count,mean_paired_diff,sem,median_paired_diff,ci95_low,ci95_high,pct_improved,pct_unchanged,pct_worsened
k1_to_k2,assessor_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,assessor_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,duplicate_url_rate,72,0.0458,0.0088,0.0000,0.0291,0.0639,31.94,68.06,0.00
k1_to_k2,fanout_faithfulness_to_user_query,72,0.0278,0.0884,0.0000,-0.1389,0.2083,11.11,76.39,12.50
k1_to_k2,fanout_overpersonalization_risk,72,0.2083,0.0738,0.0000,0.0833,0.3611,11.11,88.89,0.00
k1_to_k2,fanout_persona_field_use,72,1.8889,0.1093,2.0000,1.6806,2.0972,94.44,5.56,0.00
k1_to_k2,fanout_query_diversity,72,1.8472,0.1040,2.0000,1.6528,2.0559,100.00,0.00,0.00
k1_to_k2,fanout_query_specificity,72,1.5972,0.0982,2.0000,1.4028,1.7778,91.67,8.33,0.00
k1_to_k2,fanout_search_realism,72,0.0556,0.0967,0.0000,-0.1250,0.2361,34.72,37.50,27.78
k1_to_k2,final_actionability_without_overclaiming,72,0.2153,0.0978,0.0000,0.0415,0.3960,34.72,47.22,18.06
k1_to_k2,final_citation_support,72,0.1806,0.0799,0.0000,0.0417,0.3472,6.94,93.06,0.00
k1_to_k2,final_contradiction_with_evidence,72,0.0139,0.0139,0.0000,0.0000,0.0417,1.39,98.61,0.00
k1_to_k2,final_domain_safety,72,-0.0903,0.0966,0.0000,-0.2780,0.0903,19.44,58.33,22.22
k1_to_k2,final_evidence_usage_quality,72,0.1111,0.0863,0.0000,-0.0501,0.2834,16.67,69.44,13.89
k1_to_k2,final_groundedness,72,0.2222,0.1096,0.0000,0.0194,0.4667,20.83,65.28,13.89
k1_to_k2,final_intent_satisfaction,72,0.2847,0.0943,0.0000,0.1042,0.4653,37.50,52.78,9.72
k1_to_k2,final_missing_constraint_awareness,72,0.0556,0.1325,0.0000,-0.1948,0.3194,36.11,36.11,27.78
k1_to_k2,final_non_genericness,72,0.5278,0.1008,0.5000,0.3333,0.7222,50.00,41.67,8.33
k1_to_k2,final_overpersonalization,72,0.0278,0.1083,0.0000,-0.1806,0.2500,12.50,77.78,9.72
k1_to_k2,final_personalization_target_use,72,0.3889,0.1196,0.0000,0.1667,0.6111,45.83,41.67,12.50
k1_to_k2,final_safety,72,0.0000,0.0885,0.0000,-0.1667,0.1667,22.22,61.11,16.67
k1_to_k2,final_specificity,72,0.3889,0.0780,0.0000,0.2500,0.5417,40.28,54.17,5.56
k1_to_k2,final_uncertainty_calibration,72,0.1528,0.0982,0.0000,-0.0278,0.3472,33.33,45.83,20.83
k1_to_k2,final_unsupported_claim_risk,72,-0.2056,0.1075,0.0000,-0.4362,-0.0111,13.89,65.28,20.83
k1_to_k2,planner_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,realized_k,72,1.0000,0.0000,1.0000,1.0000,1.0000,100.00,0.00,0.00
k1_to_k2,retrieval_constraint_coverage,72,1.1736,0.1420,1.0000,0.8958,1.4375,68.06,29.17,2.78
k1_to_k2,retrieval_disconfirming_coverage,72,-0.0278,0.0195,0.0000,-0.0694,0.0000,0.00,97.22,2.78
k1_to_k2,retrieval_distractor_robustness,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,retrieval_evidence_relevance,72,0.2431,0.1128,0.0000,0.0276,0.4583,27.78,58.33,13.89
k1_to_k2,retrieval_result_persona_fit,72,1.5278,0.1467,1.0000,1.2639,1.8194,79.17,16.67,4.17
k1_to_k2,retrieval_source_quality,72,0.3542,0.1030,0.0000,0.1667,0.5625,37.50,52.78,9.72
k1_to_k2,retrieval_unsafe_or_overpersonalized_retrieval_risk,72,-0.0694,0.0456,0.0000,-0.1806,0.0000,0.00,95.83,4.17
k1_to_k2,search_latency,72,10.5336,0.5759,11.9543,9.3913,11.6690,100.00,0.00,0.00
k1_to_k2,synthesis_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,synthesis_latency,72,1.1383,0.2522,1.4097,0.6215,1.6297,77.78,0.00,22.22
k1_to_k2,tavily_calls,72,1.0000,0.0000,1.0000,1.0000,1.0000,100.00,0.00,0.00
k1_to_k2,total_latency,72,11.6720,0.6877,13.3622,10.3451,12.9879,97.22,0.00,2.78
k1_to_k2,total_llm_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,total_retrieved_context_size,72,6356.5972,94.0263,6374.5000,6173.5694,6538.9524,100.00,0.00,0.00
k1_to_k2,total_synthesis_context_size,72,5733.5417,130.1530,6007.5000,5480.3299,5966.7628,100.00,0.00,0.00
k1_to_k2,unique_domains,72,4.2083,0.1118,4.0000,3.9861,4.4167,100.00,0.00,0.00
k1_to_k2,unique_urls,72,4.5417,0.0883,5.0000,4.3611,4.7087,100.00,0.00,0.00
k2_to_k4,assessor_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,assessor_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,duplicate_url_rate,72,0.0354,0.0086,0.0000,0.0188,0.0521,43.06,44.44,12.50
k2_to_k4,fanout_faithfulness_to_user_query,72,0.0972,0.0529,0.0000,0.0000,0.2083,11.11,87.50,1.39
k2_to_k4,fanout_overpersonalization_risk,72,-0.1944,0.0675,0.0000,-0.3333,-0.0833,0.00,88.89,11.11
k2_to_k4,fanout_persona_field_use,72,0.9861,0.0999,1.0000,0.7917,1.1944,73.61,23.61,2.78
k2_to_k4,fanout_query_diversity,72,1.9167,0.1097,2.0000,1.7083,2.1111,94.44,5.56,0.00
k2_to_k4,fanout_query_specificity,72,0.9722,0.0948,1.0000,0.8056,1.1667,73.61,25.00,1.39
k2_to_k4,fanout_search_realism,72,0.3750,0.0639,0.0000,0.2500,0.5139,34.72,65.28,0.00
