analysis_group,group_type,method,sample_count,requested_k,realized_mean_k,mean_tavily_calls,mean_unique_urls,mean_unique_domains,duplicate_url_rate,mean_synthesis_context_size,mean_planner_calls,mean_synthesis_calls,mean_assessor_calls,mean_total_llm_calls,mean_search_latency,mean_total_latency,fanout_faithfulness_to_query_mean,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean
current_rule_limit_lookup,task_category,fixed_k1,6,1,1.00,1.00,5.00,4.50,0.0000,6319.0,1.00,1.00,0.00,2.00,2.08,29.95,0.0000,4.1667,1.0000,1.0000,1.0000,1.8333,4.0000,3.6667,5.0000,1.0000,3.1667,4.9667,4.9667,3.0000,4.0000,3.6667,1.5000,3.6667,3.3333,4.0000,4.0000,1.0833,2.7500,5.0000,5.0000,4.0000,2.3333,4.5000,5.0000
current_rule_limit_lookup,task_category,fixed_k2,6,2,2.00,2.00,9.83,8.83,0.0167,12421.3,1.00,1.00,0.00,2.00,3.89,30.89,0.0000,4.5000,1.1667,2.6667,2.8333,3.0000,4.5000,3.3333,5.0000,1.0000,2.6667,4.9667,4.9667,2.8333,3.6667,3.6667,2.0000,3.6667,2.8333,4.3333,3.8333,1.1667,4.5000,5.0000,5.0000,4.6667,4.5000,4.8333,5.0000
current_rule_limit_lookup,task_category,fixed_k4,6,4,4.00,4.00,18.50,14.83,0.0750,24330.3,1.00,1.00,0.00,2.00,7.65,38.36,0.0000,5.0000,1.0000,3.8333,4.8333,4.0000,4.8333,3.5000,5.0000,1.0000,2.8333,5.0000,5.0000,3.3333,4.1667,4.0000,1.5000,4.0000,3.0000,4.1667,4.1667,1.0000,5.0000,4.3333,5.0000,4.8333,4.8333,4.8333,5.0000
current_rule_limit_lookup,task_category,fixed_k8,6,8,8.00,8.00,35.50,27.67,0.1125,45047.8,1.00,1.00,0.00,2.00,14.53,48.85,0.0000,4.6667,1.0000,4.0000,5.0000,4.5000,5.0000,4.1667,5.0000,1.0000,3.1667,5.0000,4.8333,3.5000,4.3333,4.5000,1.6667,4.6667,3.3333,4.6667,4.1667,1.1667,5.0000,4.3333,5.0000,4.8333,5.0000,4.8333,5.0000
education,macro_domain,fixed_k1,24,1,1.00,1.00,5.00,4.96,0.0000,6861.7,1.00,1.00,0.00,2.00,2.07,26.92,0.0000,4.7917,1.0000,1.2083,1.0000,2.1250,4.7500,3.0833,4.8750,1.0417,3.8750,4.6167,4.4500,1.7917,2.2917,2.5417,2.0417,1.7083,4.0417,2.9167,3.2500,1.5625,1.8750,5.0000,5.0000,3.9167,1.9167,3.5417,5.0000
education,macro_domain,fixed_k2,24,2,2.00,2.00,9.62,9.33,0.0375,12470.0,1.00,1.00,0.00,2.00,4.07,29.95,0.0000,4.8333,1.5417,2.7917,2.7083,3.6250,4.4583,3.6250,5.0000,1.0000,4.0833,4.7875,4.6083,2.4792,2.8542,3.2083,1.6250,2.2500,4.3333,3.5000,3.7083,1.3958,3.2917,5.0000,5.0000,4.2500,3.7917,4.3333,4.8333
education,macro_domain,fixed_k4,24,4,4.00,4.00,18.58,16.58,0.0708,23428.8,1.00,1.00,0.00,2.00,8.50,37.19,0.0000,4.9583,1.0833,4.3333,4.9167,4.7083,4.7917,4.3478,4.9583,1.0000,4.3478,4.7917,4.7500,3.3043,3.9565,3.7391,1.3043,3.3478,4.5652,4.0435,4.3913,1.2500,4.5000,4.7500,5.0000,4.6250,4.5833,4.7917,4.9583
education,macro_domain,fixed_k8,24,8,8.00,8.00,37.62,30.33,0.0594,47251.0,1.00,1.00,0.00,2.00,17.84,51.22,0.0000,4.9167,1.0833,4.6667,5.0000,4.9167,4.8750,4.7083,5.0000,1.0000,4.2500,4.9375,4.8750,3.6667,4.2083,4.3750,1.4167,3.5833,4.5833,4.5000,4.5833,1.1250,4.4583,4.7708,5.0000,4.6667,4.6458,4.7917,4.9375
financial_concept_explanation,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,6716.2,1.00,1.00,0.00,2.00,1.48,25.21,0.0000,4.8333,1.0000,1.3333,1.0000,2.1667,4.3333,3.8333,5.0000,1.0000,4.0000,4.6667,4.6667,2.8333,3.3333,3.3333,1.0000,3.3333,4.0000,3.6667,4.0000,1.3333,2.6667,5.0000,5.0000,4.1667,2.5000,4.3333,5.0000
financial_concept_explanation,task_category,fixed_k2,6,2,2.00,2.00,9.17,9.17,0.0833,12239.2,1.00,1.00,0.00,2.00,3.68,28.64,0.0000,4.8333,1.1667,3.1667,3.0000,3.6667,4.6667,4.1667,5.0000,1.0000,3.6667,4.8333,4.8333,3.6667,4.0000,4.0000,1.0000,3.8333,4.0000,4.1667,4.3333,1.1667,4.5000,5.0000,5.0000,5.0000,4.3333,4.8333,5.0000
financial_concept_explanation,task_category,fixed_k4,6,4,4.00,4.00,16.50,15.67,0.1750,22585.0,1.00,1.00,0.00,2.00,6.99,33.42,5.0000,5.0000,1.0000,4.3333,4.8333,5.0000,4.8333,4.0000,5.0000,1.0000,3.1667,5.0000,4.8333,3.5000,3.6667,4.0000,1.1667,3.8333,3.5000,4.3333,4.0000,1.1667,4.5000,5.0000,5.0000,5.0000,4.3333,5.0000,5.0000
financial_concept_explanation,task_category,fixed_k8,6,8,8.00,8.00,34.67,29.17,0.1333,45751.5,1.00,1.00,0.00,2.00,13.76,48.51,0.0000,5.0000,1.0000,4.8333,5.0000,5.0000,5.0000,4.1667,5.0000,1.0000,3.1667,5.0000,5.0000,4.0000,4.0000,4.6667,1.1667,4.3333,3.5000,4.6667,4.3333,1.0000,4.5000,5.0000,5.0000,5.0000,4.6667,4.8333,5.0000
financial_decision_strategy,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,5707.7,1.00,1.00,0.00,2.00,1.53,24.71,0.0000,5.0000,1.0000,1.3333,1.0000,2.0000,4.8333,3.8333,4.5000,1.0000,3.1667,4.5000,4.1667,2.8333,2.8333,3.1667,1.0000,2.8333,3.5000,3.5000,3.3333,1.8333,2.1667,5.0000,5.0000,3.5000,2.0000,3.8333,5.0000
financial_decision_strategy,task_category,fixed_k2,6,2,2.00,2.00,9.50,9.00,0.0500,11362.2,1.00,1.00,0.00,2.00,2.92,27.13,0.0000,5.0000,1.1667,3.3333,2.6667,4.0000,4.5000,3.6667,4.8333,1.0000,2.8333,4.8333,4.8333,2.6667,3.0000,3.0000,1.0000,2.6667,3.1667,3.1667,3.3333,1.1667,3.5000,5.0000,5.0000,4.6667,3.5000,4.5000,5.0000
financial_decision_strategy,task_category,fixed_k4,6,4,4.00,4.00,18.33,16.50,0.0833,22550.8,1.00,1.00,0.00,2.00,6.46,33.04,0.0000,5.0000,1.0000,4.6667,4.6667,4.8333,5.0000,4.0000,5.0000,1.0000,3.0000,5.0000,4.8333,3.1667,3.5000,3.8333,1.0000,3.1667,3.3333,4.0000,3.8333,1.1667,4.3333,5.0000,5.0000,4.6667,4.1667,4.8333,5.0000
financial_decision_strategy,task_category,fixed_k8,6,8,8.00,8.00,35.33,31.33,0.1167,43920.3,1.00,1.00,0.00,2.00,13.74,51.75,0.0000,5.0000,1.1667,4.6667,4.8333,4.6667,4.6667,4.0000,5.0000,1.0000,3.1667,5.0000,5.0000,3.8333,3.3333,4.1667,1.0000,3.6667,3.1667,4.3333,3.8333,1.0000,4.1667,5.0000,5.0000,4.8333,4.1667,4.8333,5.0000
form_policy_deadline_lookup,task_category,fixed_k1,6,1,1.00,1.00,5.00,4.83,0.0000,6180.8,0.67,1.00,0.00,1.67,0.94,17.25,0.0000,4.1667,1.0000,1.3333,1.0000,2.1667,4.3333,3.5000,5.0000,1.0000,2.5000,5.0000,5.0000,2.8333,3.3333,4.0000,1.0000,2.3333,2.5000,3.6667,3.6667,1.0000,3.8333,5.0000,5.0000,4.6667,4.0000,4.6667,5.0000
form_policy_deadline_lookup,task_category,fixed_k2,6,2,2.00,2.00,9.50,8.67,0.0500,12198.0,0.67,1.00,0.00,1.67,2.16,20.68,0.0000,5.0000,1.0000,3.5000,3.5000,4.1667,4.8333,4.1667,5.0000,1.0000,3.0000,5.0000,5.0000,3.5000,3.8333,4.6667,1.0000,3.6667,3.1667,4.3333,4.3333,1.0000,4.6667,5.0000,5.0000,4.8333,4.6667,4.8333,5.0000
