method,macro_domain,sample_count,assessor_calls_mean,assessor_latency_mean,duplicate_url_rate_mean,fanout_faithfulness_to_query_mean,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,planner_calls_mean,realized_k_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean,search_latency_mean,synthesis_calls_mean,synthesis_latency_mean,tavily_calls_mean,total_latency_mean,total_llm_calls_mean,total_retrieved_context_size_mean,total_synthesis_context_size_mean,unique_domains_mean,unique_urls_mean,assessor_calls_sem,assessor_latency_sem,duplicate_url_rate_sem,fanout_faithfulness_to_query_sem,fanout_faithfulness_to_user_query_sem,fanout_overpersonalization_risk_sem,fanout_persona_field_use_sem,fanout_query_diversity_sem,fanout_query_specificity_sem,fanout_search_realism_sem,final_actionability_without_overclaiming_sem,final_citation_support_sem,final_contradiction_with_evidence_sem,final_domain_safety_sem,final_evidence_usage_quality_sem,final_groundedness_sem,final_intent_satisfaction_sem,final_missing_constraint_awareness_sem,final_non_genericness_sem,final_overpersonalization_sem,final_personalization_target_use_sem,final_safety_sem,final_specificity_sem,final_uncertainty_calibration_sem,final_unsupported_claim_risk_sem,planner_calls_sem,realized_k_sem,retrieval_constraint_coverage_sem,retrieval_disconfirming_coverage_sem,retrieval_distractor_robustness_sem,retrieval_evidence_relevance_sem,retrieval_result_persona_fit_sem,retrieval_source_quality_sem,retrieval_unsafe_or_overpersonalized_retrieval_risk_sem,search_latency_sem,synthesis_calls_sem,synthesis_latency_sem,tavily_calls_sem,total_latency_sem,total_llm_calls_sem,total_retrieved_context_size_sem,total_synthesis_context_size_sem,unique_domains_sem,unique_urls_sem
fixed_k1,education,24,0.0000,0.0000,0.0000,0.0000,4.7917,1.0000,1.2083,1.0000,2.1250,4.7500,3.0833,4.8750,1.0417,3.8750,4.6167,4.4500,1.7917,2.2917,2.5417,2.0417,1.7083,4.0417,2.9167,3.2500,1.5625,1.0000,1.0000,1.8750,5.0000,5.0000,3.9167,1.9167,3.5417,5.0000,2.0652,1.0000,11.4742,1.0000,26.9161,2.0000,6861.6667,6861.6667,4.9583,5.0000,0.0000,0.0000,0.0000,0.0000,0.1201,0.0000,0.0847,0.0000,0.0690,0.1085,0.1797,0.1250,0.0417,0.3146,0.1565,0.2076,0.1590,0.2657,0.1700,0.3155,0.1853,0.2917,0.1464,0.2191,0.2070,0.0000,0.0000,0.1837,0.0000,0.0000,0.2686,0.1797,0.1700,0.0000,0.1663,0.0000,0.4840,0.0000,1.6204,0.0000,191.1860,191.1860,0.0417,0.0000
fixed_k1,legal_info,24,0.0000,0.0000,0.0000,0.0000,4.6250,1.0000,1.2917,1.0000,2.4167,4.4167,3.2917,4.8750,1.0000,2.5000,4.8250,4.7417,2.5208,3.2083,3.2917,1.1250,2.1667,2.8333,3.2917,3.3750,1.2917,0.8750,1.0000,2.8750,5.0000,5.0000,4.1667,3.1250,3.8333,5.0000,1.5661,1.0000,11.2860,1.0000,22.4720,1.8750,6358.5833,6358.5833,4.9583,5.0000,0.0000,0.0000,0.0000,0.0000,0.1787,0.0000,0.0948,0.0000,0.1191,0.1028,0.2126,0.1250,0.0000,0.2252,0.1298,0.1726,0.2074,0.2406,0.2517,0.0690,0.2669,0.2383,0.2290,0.2069,0.1753,0.0690,0.0000,0.2576,0.0000,0.0000,0.2530,0.2645,0.2601,0.0000,0.1771,0.0000,0.6792,0.0000,1.2213,0.0690,156.8450,156.8450,0.0417,0.0000
fixed_k1,personal_finance,24,0.0000,0.0000,0.0000,0.0000,4.5833,1.0000,1.1667,1.0000,1.9583,4.4167,3.6667,4.8750,1.0833,3.2083,4.6583,4.5750,2.7917,3.2500,3.2917,1.2500,3.0000,3.4167,3.5833,3.6667,1.4375,1.0000,1.0000,2.4792,5.0000,5.0000,3.9583,2.2500,4.3750,5.0000,1.6153,1.0000,10.7606,1.0000,26.6823,2.0000,6384.7917,6384.7917,4.8750,5.0000,0.0000,0.0000,0.0000,0.0000,0.1583,0.0000,0.0777,0.0000,0.0732,0.1028,0.1554,0.1250,0.0576,0.2480,0.1145,0.1791,0.2169,0.2351,0.2517,0.1729,0.3010,0.2548,0.1989,0.2142,0.1788,0.0000,0.0000,0.2649,0.0000,0.0000,0.2290,0.2019,0.1979,0.0000,0.1190,0.0000,0.4037,0.0000,0.8116,0.0000,159.7338,159.7338,0.0915,0.0000
fixed_k2,education,24,0.0000,0.0000,0.0375,0.0000,4.8333,1.5417,2.7917,2.7083,3.6250,4.4583,3.6250,5.0000,1.0000,4.0833,4.7875,4.6083,2.4792,2.8542,3.2083,1.6250,2.2500,4.3333,3.5000,3.7083,1.3958,1.0000,2.0000,3.2917,5.0000,5.0000,4.2500,3.7917,4.3333,4.8333,4.0703,1.0000,12.5071,2.0000,29.9540,2.0000,13010.4167,12470.0417,9.3333,9.6250,0.0000,0.0000,0.0179,0.0000,0.0777,0.2169,0.1343,0.1274,0.1175,0.1700,0.1979,0.0000,0.0000,0.3005,0.0772,0.1270,0.1891,0.2649,0.2083,0.2468,0.2351,0.2457,0.1703,0.2210,0.1125,0.0000,0.0000,0.2917,0.0000,0.0000,0.1927,0.2622,0.1667,0.1300,0.2834,0.0000,0.3431,0.0000,1.4133,0.0000,249.2302,310.0625,0.1871,0.1787
fixed_k2,legal_info,24,0.0000,0.0000,0.0250,0.0000,5.0000,1.0000,3.2917,3.0417,4.0833,4.7083,3.7391,5.0000,1.0000,2.8261,4.9583,4.9583,3.0435,3.3913,3.8261,1.0435,2.7826,3.0000,3.7391,3.6957,1.0833,0.8750,2.0000,3.9583,5.0000,5.0000,4.7083,4.4375,4.2500,5.0000,2.8851,1.0000,11.8817,2.0000,24.3868,1.8750,12463.9167,12121.3333,9.3750,9.7083,0.0000,0.0000,0.0090,0.0000,0.0000,0.0000,0.1949,0.1853,0.1583,0.0948,0.1802,0.0000,0.0000,0.2236,0.0417,0.0417,0.2035,0.2330,0.2323,0.0435,0.2878,0.1988,0.1909,0.2217,0.0576,0.0690,0.0000,0.2517,0.0000,0.0000,0.1532,0.1934,0.2019,0.0000,0.2604,0.0000,0.4791,0.0000,1.2250,0.0690,366.4683,354.5662,0.1886,0.0948
fixed_k2,personal_finance,24,0.0000,0.0000,0.0542,0.0000,4.7917,1.1667,2.9583,2.7500,3.5417,4.5417,3.6667,4.9583,1.0000,2.9167,4.8667,4.8667,2.9583,3.4167,3.5417,1.4167,3.1667,3.1250,3.8750,3.7083,1.1667,1.0000,2.0000,4.0833,5.0000,5.0000,4.7500,4.0833,4.7917,5.0000,3.3610,1.0000,11.2012,2.0000,28.8686,2.0000,12731.2500,12002.9583,8.9167,9.4583,0.0000,0.0000,0.0170,0.0000,0.1039,0.0777,0.1949,0.1621,0.2251,0.1039,0.1667,0.0417,0.0000,0.2686,0.0688,0.0688,0.2126,0.2325,0.2406,0.2401,0.2866,0.2431,0.1837,0.2290,0.0777,0.0000,0.0000,0.2325,0.0000,0.0000,0.1379,0.1797,0.1039,0.0000,0.2128,0.0000,0.3827,0.0000,0.8744,0.0000,289.4026,335.4207,0.2246,0.1700
fixed_k4,education,24,0.0000,0.0000,0.0708,0.0000,4.9583,1.0833,4.3333,4.9167,4.7083,4.7917,4.3478,4.9583,1.0000,4.3478,4.7917,4.7500,3.3043,3.9565,3.7391,1.3043,3.3478,4.5652,4.0435,4.3913,1.2500,1.0000,4.0000,4.5000,4.7500,5.0000,4.6250,4.5833,4.7917,4.9583,8.5007,1.0000,15.3146,4.0000,37.1920,2.0000,25353.4167,23428.7917,16.5833,18.5833,0.0000,0.0000,0.0175,0.0000,0.0417,0.0576,0.1667,0.0576,0.1123,0.1039,0.1350,0.0417,0.0000,0.2319,0.0847,0.0903,0.2031,0.2035,0.2198,0.1714,0.2784,0.1868,0.1330,0.1506,0.0903,0.0000,0.0000,0.1806,0.1831,0.0000,0.1571,0.1797,0.1201,0.0417,0.6619,0.0000,1.5659,0.0000,2.0864,0.0000,398.4505,706.0461,0.4034,0.3506
fixed_k4,legal_info,24,0.0000,0.0000,0.0646,0.0000,5.0000,1.0000,4.0000,4.6667,4.7917,4.9167,3.6957,5.0000,1.0000,3.0870,5.0000,4.9167,3.0652,3.4783,4.1739,1.2174,2.9783,3.2174,3.9130,3.8261,1.0833,0.8750,4.0000,4.2917,4.6250,5.0000,4.7917,4.6250,4.7500,5.0000,5.9196,1.0000,13.4349,4.0000,28.9745,1.8750,25213.0000,23542.8750,17.4167,18.6667,0.0000,0.0000,0.0093,0.0000,0.0000,0.0000,0.2085,0.1554,0.1039,0.0576,0.1595,0.0000,0.0000,0.2077,0.0000,0.0576,0.1787,0.1975,0.1739,0.1773,0.2676,0.1984,0.1877,0.1495,0.0576,0.0690,0.0000,0.1753,0.2069,0.0000,0.0847,0.1320,0.1241,0.0000,0.4625,0.0000,0.5205,0.0000,1.3494,0.0690,520.0794,531.9846,0.3706,0.1772
fixed_k4,personal_finance,24,0.0000,0.0000,0.1063,5.0000,4.9565,1.0000,4.1250,4.7917,4.5833,4.9167,3.8750,5.0000,1.0000,3.0833,5.0000,4.8750,3.3333,3.7083,3.9167,1.1667,3.5833,3.2917,4.1250,4.0000,1.1250,1.0000,4.0000,4.5833,4.7500,5.0000,4.7917,4.4167,4.8750,5.0000,6.9223,1.0000,13.4282,4.0000,34.6568,2.0000,25934.7500,23074.8333,15.9583,17.8750,0.0000,0.0000,0.0211,0.0000,0.0435,0.0000,0.2025,0.1039,0.1464,0.0576,0.1096,0.0000,0.0000,0.2078,0.0000,0.0690,0.1871,0.1753,0.2246,0.1300,0.2882,0.2126,0.1837,0.1593,0.0690,0.0000,0.0000,0.1464,0.1831,0.0000,0.1039,0.1464,0.0690,0.0000,0.3379,0.0000,0.5424,0.0000,1.0574,0.0000,413.5449,605.2755,0.5125,0.4227
fixed_k8,education,24,0.0000,0.0000,0.0594,0.0000,4.9167,1.0833,4.6667,5.0000,4.9167,4.8750,4.7083,5.0000,1.0000,4.2500,4.9375,4.8750,3.6667,4.2083,4.3750,1.4167,3.5833,4.5833,4.5000,4.5833,1.1250,1.0000,8.0000,4.4583,4.7708,5.0000,4.6667,4.6458,4.7917,4.9375,17.8376,1.0000,20.0105,8.0000,51.2247,2.0000,50492.4167,47251.0000,30.3333,37.6250,0.0000,0.0000,0.0114,0.0000,0.0833,0.0576,0.2056,0.0000,0.0576,0.0915,0.1123,0.0000,0.0000,0.2351,0.0458,0.0690,0.1871,0.1700,0.1571,0.1797,0.2753,0.1694,0.1204,0.1335,0.0690,0.0000,0.0000,0.1901,0.1754,0.0000,0.1300,0.1662,0.1039,0.0625,1.4469,0.0000,0.6369,0.0000,1.9059,0.0000,812.9939,966.4392,0.8484,0.4577
