method,task_category,sample_count,assessor_calls_mean,assessor_latency_mean,duplicate_url_rate_mean,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_thoughtfulness_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,planner_calls_mean,realized_k_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean,search_latency_mean,synthesis_calls_mean,synthesis_latency_mean,tavily_calls_mean,total_latency_mean,total_llm_calls_mean,total_retrieved_context_size_mean,total_synthesis_context_size_mean,unique_domains_mean,unique_urls_mean,assessor_calls_sem,assessor_latency_sem,duplicate_url_rate_sem,fanout_faithfulness_to_user_query_sem,fanout_overpersonalization_risk_sem,fanout_persona_field_use_sem,fanout_query_diversity_sem,fanout_query_specificity_sem,fanout_search_realism_sem,final_actionability_without_overclaiming_sem,final_citation_support_sem,final_contradiction_with_evidence_sem,final_domain_safety_sem,final_evidence_usage_quality_sem,final_groundedness_sem,final_intent_satisfaction_sem,final_missing_constraint_awareness_sem,final_non_genericness_sem,final_overpersonalization_sem,final_personalization_target_use_sem,final_safety_sem,final_specificity_sem,final_thoughtfulness_sem,final_uncertainty_calibration_sem,final_unsupported_claim_risk_sem,planner_calls_sem,realized_k_sem,retrieval_constraint_coverage_sem,retrieval_disconfirming_coverage_sem,retrieval_distractor_robustness_sem,retrieval_evidence_relevance_sem,retrieval_result_persona_fit_sem,retrieval_source_quality_sem,retrieval_unsafe_or_overpersonalized_retrieval_risk_sem,search_latency_sem,synthesis_calls_sem,synthesis_latency_sem,tavily_calls_sem,total_latency_sem,total_llm_calls_sem,total_retrieved_context_size_sem,total_synthesis_context_size_sem,unique_domains_sem,unique_urls_sem
fixed_k1,current_rule_limit_lookup,6,0.0000,0.0000,0.0000,4.3333,1.0000,1.0000,1.0000,2.0000,4.6667,3.5000,5.0000,1.0000,3.0000,4.8333,4.8333,2.5000,3.3333,3.1667,1.8333,2.6667,3.1667,3.1667,0.0000,3.6667,1.1667,1.0000,1.0000,2.1667,5.0000,5.0000,3.1667,2.0000,4.3333,5.0000,5.8530,1.0000,7.6730,1.0000,27.8846,2.0000,6361.8333,6361.8333,4.8333,5.0000,0.0000,0.0000,0.0000,0.4944,0.0000,0.0000,0.0000,0.0000,0.2108,0.4282,0.0000,0.0000,0.5164,0.1667,0.1667,0.3416,0.4216,0.4014,0.5426,0.3333,0.4773,0.4014,0.0000,0.4216,0.1667,0.0000,0.0000,0.4014,0.0000,0.0000,0.4014,0.5164,0.3333,0.0000,1.0270,0.0000,0.9268,0.0000,1.7758,0.0000,116.9819,116.9819,0.1667,0.0000
fixed_k1,financial_concept_explanation,6,0.0000,0.0000,0.0000,5.0000,1.0000,1.3333,1.0000,2.1667,4.3333,3.8333,4.1667,1.0000,3.8333,4.1333,4.3000,2.8333,3.6667,3.0000,1.0000,3.0000,4.0000,3.3333,0.0000,4.0000,1.7500,1.0000,1.0000,2.8333,5.0000,5.0000,4.5000,2.6667,4.5000,5.0000,6.8876,1.0000,8.6276,1.0000,28.4182,2.0000,5509.1667,5509.1667,5.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2108,0.0000,0.1667,0.2108,0.1667,0.5426,0.0000,0.6540,0.5333,0.4123,0.4014,0.2108,0.5164,0.0000,0.5164,0.5164,0.3333,0.0000,0.2582,0.4031,0.0000,0.0000,0.6009,0.0000,0.0000,0.2236,0.4944,0.5000,0.0000,1.6855,0.0000,0.5433,0.0000,1.7333,0.0000,192.1398,192.1398,0.0000,0.0000
fixed_k1,financial_decision_strategy,6,0.0000,0.0000,0.0000,5.0000,1.0000,1.1667,1.0000,2.0000,4.6667,3.1667,5.0000,1.0000,3.1667,4.8333,4.6667,2.3333,2.6667,2.6667,1.0000,1.8333,3.5000,2.8333,0.0000,3.1667,1.3333,1.0000,1.0000,2.3333,5.0000,5.0000,3.8333,2.1667,4.0000,5.0000,5.6524,1.0000,9.0773,1.0000,30.5789,2.0000,5748.1667,5748.1667,4.3333,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.0000,0.2108,0.3073,0.0000,0.0000,0.6009,0.1667,0.2108,0.2108,0.4216,0.2108,0.0000,0.3073,0.6708,0.1667,0.0000,0.1667,0.2108,0.0000,0.0000,0.3333,0.0000,0.0000,0.6009,0.3073,0.3651,0.0000,1.2211,0.0000,0.5128,0.0000,2.3364,0.0000,763.5081,763.5081,0.6667,0.0000
fixed_k1,form_policy_deadline_lookup,6,0.0000,0.0000,0.0000,4.6667,1.0000,1.3333,1.0000,2.0000,4.5000,3.8333,5.0000,1.0000,3.1667,5.0000,5.0000,3.5000,3.8333,4.3333,1.0000,3.3333,3.3333,4.0000,0.0000,4.1667,1.0000,1.0000,1.0000,3.8333,5.0000,5.0000,4.5000,3.6667,4.0000,5.0000,8.2413,1.0000,8.8873,1.0000,31.1184,2.0000,7177.6667,7177.6667,4.5000,5.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.2108,0.0000,0.2582,0.2236,0.3073,0.0000,0.0000,0.4773,0.0000,0.0000,0.3416,0.4014,0.4944,0.0000,0.6146,0.4216,0.4472,0.0000,0.3073,0.0000,0.0000,0.0000,0.6009,0.0000,0.0000,0.3416,0.5578,0.5164,0.0000,1.9360,0.0000,0.9109,0.0000,2.8028,0.0000,982.5931,982.5931,0.2236,0.0000
fixed_k1,jurisdiction_resource_lookup,6,0.0000,0.0000,0.0000,4.6667,1.0000,1.5000,1.0000,2.5000,4.1667,3.3333,5.0000,1.0000,2.3333,4.8333,4.8333,2.5000,3.1667,3.5000,1.0000,2.5000,2.3333,3.5000,0.0000,3.5000,1.1667,1.0000,1.0000,3.1667,5.0000,5.0000,4.8333,3.3333,4.3333,5.0000,6.5121,1.0000,10.3305,1.0000,29.4291,2.0000,6861.0000,6861.0000,5.0000,5.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.2236,0.0000,0.2236,0.1667,0.2108,0.0000,0.0000,0.3333,0.1667,0.1667,0.2236,0.3073,0.3416,0.0000,0.4282,0.3333,0.3416,0.0000,0.2236,0.1667,0.0000,0.0000,0.6540,0.0000,0.0000,0.1667,0.5578,0.3333,0.0000,1.8858,0.0000,1.1329,0.0000,2.4380,0.0000,324.3303,324.3303,0.0000,0.0000
fixed_k1,legal_decision_strategy,6,0.0000,0.0000,0.0000,5.0000,1.0000,1.1667,1.0000,2.1667,4.1667,3.3333,5.0000,1.0000,3.0000,4.6667,4.5000,2.6667,2.5000,3.1667,1.1667,2.1667,3.3333,3.3333,0.0000,3.1667,1.5000,1.0000,1.0000,2.0000,5.0000,5.0000,4.1667,2.1667,4.0000,5.0000,7.6869,1.0000,12.3363,1.0000,31.3508,2.0000,6375.5000,6375.5000,5.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.1667,0.1667,0.4216,0.0000,0.0000,0.6325,0.2108,0.3416,0.4944,0.5627,0.4773,0.1667,0.6009,0.5578,0.4216,0.0000,0.4773,0.3416,0.0000,0.0000,0.4472,0.0000,0.0000,0.5426,0.4773,0.3651,0.0000,2.1315,0.0000,1.1542,0.0000,2.5054,0.0000,329.0423,329.0423,0.0000,0.0000
fixed_k1,legal_issue_explanation,6,0.0000,0.0000,0.0000,5.0000,1.0000,1.1667,1.0000,2.5000,4.5000,3.6667,4.5000,1.0000,3.0000,4.1667,3.8333,3.1667,3.6667,3.6667,1.0000,3.0000,3.0000,3.5000,0.0000,3.5000,2.1667,1.0000,1.0000,2.5000,5.0000,5.0000,3.3333,2.6667,2.8333,5.0000,7.7608,1.0000,9.5127,1.0000,28.6715,2.0000,6408.0000,6408.0000,4.5000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.2236,0.2236,0.6146,0.5000,0.0000,0.7303,0.5426,0.7491,0.4773,0.6146,0.4944,0.0000,0.5164,0.7303,0.4282,0.0000,0.6708,0.7491,0.0000,0.0000,0.5627,0.0000,0.0000,0.7601,0.6667,0.7491,0.0000,1.7275,0.0000,0.5914,0.0000,2.6732,0.0000,479.9957,479.9957,0.5000,0.0000
fixed_k1,personal_decision_strategy,6,0.0000,0.0000,0.0000,5.0000,1.0000,1.1667,1.0000,2.0000,4.3333,3.3333,5.0000,1.0000,3.3333,4.8333,4.8333,2.1667,2.5000,2.3333,2.3333,2.1667,3.6667,3.5000,0.0000,3.1667,1.1667,1.0000,1.0000,2.6667,5.0000,5.0000,4.6667,2.8333,4.0000,5.0000,5.2271,1.0000,9.9560,1.0000,27.6746,2.0000,6693.0000,6693.0000,5.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.0000,0.2108,0.4216,0.0000,0.0000,0.5578,0.1667,0.1667,0.4014,0.5627,0.5578,0.4944,0.4773,0.4216,0.4282,0.0000,0.4773,0.1667,0.0000,0.0000,0.4944,0.0000,0.0000,0.3333,0.4014,0.2582,0.0000,0.7033,0.0000,0.1439,0.0000,1.0938,0.0000,253.0158,253.0158,0.0000,0.0000
fixed_k1,product_or_program_comparison,6,0.0000,0.0000,0.0000,4.1667,1.0000,1.0000,1.0000,1.8333,4.5000,3.6667,4.1667,1.0000,2.8333,4.6333,3.9667,2.5000,3.3333,2.6667,1.1667,2.1667,2.8333,2.8333,0.0000,3.1667,2.1667,1.0000,1.0000,2.1667,5.0000,5.0000,3.5000,1.8333,4.1667,5.0000,6.9489,1.0000,8.9593,1.0000,31.8519,2.0000,5619.3333,5619.3333,5.0000,5.0000,0.0000,0.0000,0.0000,0.4014,0.0000,0.0000,0.0000,0.1667,0.2236,0.2108,0.5426,0.0000,0.3073,0.3283,0.6741,0.2236,0.4216,0.2108,0.1667,0.4773,0.3073,0.1667,0.0000,0.4014,0.6540,0.0000,0.0000,0.6009,0.0000,0.0000,0.6191,0.4773,0.6540,0.0000,1.9448,0.0000,0.4358,0.0000,3.6432,0.0000,383.4583,383.4583,0.0000,0.0000
fixed_k1,shopping_product_recommendation,6,0.0000,0.0000,0.0000,5.0000,1.0000,1.1667,1.0000,2.0000,5.0000,3.8333,5.0000,1.0000,4.6667,5.0000,5.0000,2.1667,2.3333,3.1667,3.3333,2.0000,4.6667,3.6667,0.0000,3.5000,1.0000,1.0000,1.0000,2.1667,5.0000,5.0000,4.6667,2.0000,4.5000,5.0000,9.9414,1.0000,9.9738,1.0000,34.3698,2.0000,6950.1667,6950.1667,5.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.4014,0.0000,0.0000,0.3333,0.0000,0.0000,0.6009,0.7149,0.5426,0.6146,0.6325,0.3333,0.3333,0.0000,0.5000,0.0000,0.0000,0.0000,0.6540,0.0000,0.0000,0.2108,0.4472,0.2236,0.0000,1.7304,0.0000,0.5258,0.0000,2.4045,0.0000,109.0894,109.0894,0.0000,0.0000
