comparison,metric,sample_count,mean_paired_diff,sem,median_paired_diff,ci95_low,ci95_high,pct_improved,pct_unchanged,pct_worsened
k1_to_k2,assessor_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,assessor_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,duplicate_url_rate,72,0.0307,0.0073,0.0000,0.0167,0.0461,22.22,77.78,0.00
k1_to_k2,fanout_faithfulness_to_user_query,72,0.1250,0.1100,0.0000,-0.1111,0.3337,16.67,72.22,11.11
k1_to_k2,fanout_overpersonalization_risk,72,0.2639,0.0766,0.0000,0.1250,0.4309,16.67,83.33,0.00
k1_to_k2,fanout_persona_field_use,72,1.4722,0.1027,1.0000,1.2639,1.6806,91.67,8.33,0.00
k1_to_k2,fanout_query_diversity,72,1.5139,0.0839,1.0000,1.3472,1.6806,100.00,0.00,0.00
k1_to_k2,fanout_query_specificity,72,1.1250,0.1007,1.0000,0.9306,1.3194,75.00,25.00,0.00
k1_to_k2,fanout_search_realism,72,-0.0972,0.0866,0.0000,-0.2778,0.0698,19.44,54.17,26.39
k1_to_k2,final_actionability_without_overclaiming,72,0.4375,0.0901,0.0000,0.2639,0.6113,43.06,50.00,6.94
k1_to_k2,final_citation_support,72,0.0278,0.0341,0.0000,-0.0278,0.1111,2.78,95.83,1.39
k1_to_k2,final_contradiction_with_evidence,72,0.0000,0.0198,0.0000,-0.0417,0.0417,1.39,97.22,1.39
k1_to_k2,final_domain_safety,72,0.0694,0.0995,0.0000,-0.1250,0.2639,25.00,56.94,18.06
k1_to_k2,final_evidence_usage_quality,72,0.1694,0.0767,0.0000,0.0167,0.3279,22.22,70.83,6.94
k1_to_k2,final_groundedness,72,0.1931,0.0750,0.0000,0.0472,0.3417,26.39,66.67,6.94
k1_to_k2,final_intent_satisfaction,72,0.5208,0.0986,0.0000,0.3333,0.7222,38.89,58.33,2.78
k1_to_k2,final_missing_constraint_awareness,72,0.3333,0.1399,0.0000,0.0556,0.5972,43.06,40.28,16.67
k1_to_k2,final_non_genericness,72,0.5139,0.1083,0.0000,0.2917,0.7361,40.28,52.78,6.94
k1_to_k2,final_overpersonalization,72,-0.1944,0.1365,0.0000,-0.4448,0.0698,6.94,75.00,18.06
k1_to_k2,final_personalization_target_use,72,0.5278,0.1186,0.0000,0.3056,0.7778,38.89,55.56,5.56
k1_to_k2,final_safety,72,-0.0278,0.0988,0.0000,-0.2222,0.1670,20.83,58.33,20.83
k1_to_k2,final_specificity,72,0.3611,0.0869,0.0000,0.1944,0.5278,33.33,61.11,5.56
k1_to_k2,final_uncertainty_calibration,72,0.2917,0.1073,0.0000,0.0833,0.5000,40.28,44.44,15.28
k1_to_k2,final_unsupported_claim_risk,72,-0.1736,0.0792,0.0000,-0.3333,-0.0139,9.72,63.89,26.39
k1_to_k2,planner_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,realized_k,72,1.0000,0.0000,1.0000,1.0000,1.0000,100.00,0.00,0.00
k1_to_k2,retrieval_constraint_coverage,72,1.3472,0.1482,1.0000,1.0830,1.6528,70.83,27.78,1.39
k1_to_k2,retrieval_disconfirming_coverage,72,-0.0556,0.0556,0.0000,-0.1667,0.0000,0.00,98.61,1.39
k1_to_k2,retrieval_distractor_robustness,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,retrieval_evidence_relevance,72,0.3611,0.1159,0.0000,0.1389,0.5972,33.33,56.94,9.72
k1_to_k2,retrieval_result_persona_fit,72,1.6528,0.1469,2.0000,1.3885,1.9306,79.17,19.44,1.39
k1_to_k2,retrieval_source_quality,72,0.4167,0.0984,0.0000,0.2222,0.5972,43.06,47.22,9.72
k1_to_k2,retrieval_unsafe_or_overpersonalized_retrieval_risk,72,-0.0139,0.0139,0.0000,-0.0417,0.0000,0.00,98.61,1.39
k1_to_k2,search_latency,72,1.7206,0.0973,1.5431,1.5405,1.9116,100.00,0.00,0.00
k1_to_k2,synthesis_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,synthesis_latency,72,0.8050,0.2098,0.9464,0.3732,1.1711,65.28,0.00,34.72
k1_to_k2,tavily_calls,72,1.0000,0.0000,1.0000,1.0000,1.0000,100.00,0.00,0.00
k1_to_k2,total_latency,72,2.5256,0.2351,2.7541,2.0760,2.9559,87.50,0.00,12.50
k1_to_k2,total_llm_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,total_retrieved_context_size,72,6406.4444,159.3484,6524.5000,6083.5983,6698.8288,100.00,0.00,0.00
k1_to_k2,total_synthesis_context_size,72,6001.6806,174.8526,6242.0000,5662.2375,6330.9941,100.00,0.00,0.00
k1_to_k2,unique_domains,72,4.2917,0.1017,4.5000,4.0972,4.4861,100.00,0.00,0.00
k1_to_k2,unique_urls,72,4.6806,0.0762,5.0000,4.5139,4.8333,100.00,0.00,0.00
k2_to_k4,assessor_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,assessor_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,duplicate_url_rate,72,0.0562,0.0078,0.0500,0.0410,0.0701,55.56,40.28,4.17
k2_to_k4,fanout_faithfulness_to_user_query,72,0.0694,0.0774,0.0000,-0.0698,0.2222,11.11,81.94,6.94
k2_to_k4,fanout_overpersonalization_risk,72,-0.1111,0.0544,0.0000,-0.2222,-0.0139,4.17,81.94,13.89
k2_to_k4,fanout_persona_field_use,72,1.0556,0.1026,1.0000,0.8611,1.2500,72.22,26.39,1.39
k2_to_k4,fanout_query_diversity,72,2.0694,0.1107,2.0000,1.8611,2.2917,90.28,9.72,0.00
k2_to_k4,fanout_query_specificity,72,1.1111,0.0939,1.0000,0.9306,1.2917,80.56,18.06,1.39
k2_to_k4,fanout_search_realism,72,0.2500,0.0706,0.0000,0.1111,0.3889,30.56,62.50,6.94
