analysis_group,group_type,method,sample_count,requested_k,realized_mean_k,mean_tavily_calls,mean_unique_urls,mean_unique_domains,duplicate_url_rate,mean_synthesis_context_size,mean_planner_calls,mean_synthesis_calls,mean_assessor_calls,mean_total_llm_calls,mean_search_latency,mean_total_latency,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean
current_rule_limit_lookup,task_category,fixed_k1,6,1,1.00,1.00,5.00,4.67,0.0000,6391.8,1.00,1.00,0.00,2.00,1.87,68.48,4.5000,1.0000,1.0000,1.0000,1.8333,4.8333,3.1667,5.0000,1.0000,3.0000,5.0000,5.0000,2.5000,3.8333,3.5000,1.5000,3.0000,3.3333,3.8333,4.1667,1.0000,3.1667,5.0000,5.0000,4.0000,2.5000,4.3333,5.0000
current_rule_limit_lookup,task_category,fixed_k2,6,2,2.00,2.00,9.50,8.67,0.0500,12268.0,1.00,1.00,0.00,2.00,3.73,70.21,4.5000,1.5000,2.1667,2.1667,2.6667,4.6667,3.1667,5.0000,1.0000,2.5000,5.0000,5.0000,2.8333,3.8333,3.6667,1.6667,3.8333,3.0000,4.1667,4.0000,1.0000,4.1667,5.0000,5.0000,4.1667,3.8333,4.3333,5.0000
current_rule_limit_lookup,task_category,fixed_k4,6,4,4.00,4.00,17.00,13.83,0.1500,22556.5,1.00,1.00,0.00,2.00,6.52,74.39,4.3333,1.1667,3.0000,4.3333,3.5000,4.8333,3.1667,5.0000,1.0000,2.6667,5.0000,5.0000,2.8333,3.8333,3.6667,2.3333,3.8333,3.0000,4.0000,3.8333,1.0000,4.5000,4.8333,5.0000,4.5000,4.1667,4.6667,5.0000
current_rule_limit_lookup,task_category,fixed_k8,6,8,8.00,8.00,32.83,26.67,0.1792,42020.5,1.00,1.00,0.00,2.00,12.32,83.41,4.1667,1.5000,3.5000,4.5000,4.0000,4.6667,3.3333,5.0000,1.0000,3.0000,5.0000,5.0000,3.1667,4.0000,4.0000,1.5000,4.0000,3.0000,4.0000,3.8333,1.0000,4.0000,4.3333,5.0000,4.1667,4.1667,4.6667,5.0000
education,macro_domain,fixed_k1,24,1,1.00,1.00,5.00,5.00,0.0000,6652.7,0.96,1.00,0.00,1.96,2.03,62.86,4.8333,1.0000,1.0833,1.0000,2.0417,4.7500,3.3333,4.9583,1.0417,4.0833,4.6917,4.6708,2.0417,2.5000,2.5833,2.0417,1.8750,4.2917,3.1250,3.4583,1.3542,2.0833,5.0000,5.0000,4.4583,2.1667,3.8750,5.0000
education,macro_domain,fixed_k2,24,2,2.00,2.00,9.75,9.46,0.0213,12815.1,0.96,1.00,0.00,1.96,3.94,65.70,4.9583,1.2083,2.5000,2.3333,3.0833,4.5000,3.8750,4.9583,1.0000,4.2083,4.8750,4.8333,2.7500,3.1250,3.0833,1.6667,2.4583,4.2917,3.4167,3.7917,1.2083,3.5417,4.8333,5.0000,4.5833,4.0417,4.5000,5.0000
education,macro_domain,fixed_k4,24,4,4.00,4.00,18.50,16.79,0.0732,23192.5,0.96,1.00,0.00,1.96,7.85,70.81,4.9167,1.1250,3.5833,4.6250,4.3750,4.7917,4.1250,4.9583,1.0000,4.2917,4.8042,4.6375,3.2083,3.7500,3.7500,1.4583,3.0417,4.4167,3.9167,4.2083,1.3833,4.3750,4.7083,5.0000,4.8333,4.7500,4.8750,5.0000
education,macro_domain,fixed_k8,24,8,8.00,8.00,37.17,30.96,0.0689,45835.8,0.96,1.00,0.00,1.96,15.77,84.59,4.8333,1.2083,4.5000,4.9583,4.8333,4.7917,4.3750,5.0000,1.0000,4.1250,5.0000,4.8750,3.5208,3.6667,4.1667,1.5833,3.3750,4.2917,4.2292,4.1458,1.1250,4.4583,4.7083,5.0000,4.7500,4.6250,4.8750,4.9583
financial_concept_explanation,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,6417.3,1.00,1.00,0.00,2.00,1.51,61.44,4.6667,1.0000,1.3333,1.0000,2.3333,4.8333,3.7500,5.0000,1.0000,3.5000,4.6667,4.4667,3.0833,2.8333,3.3333,1.0000,3.5000,3.6667,3.6667,3.6667,1.5833,3.3333,5.0000,5.0000,4.8333,3.0000,4.8333,5.0000
financial_concept_explanation,task_category,fixed_k2,6,2,2.00,2.00,9.50,9.33,0.0500,12071.8,1.00,1.00,0.00,2.00,3.59,64.65,4.3333,1.6667,2.8333,2.6667,3.8333,4.6667,4.1667,5.0000,1.0000,3.5000,4.8333,4.8333,3.1667,3.5000,3.5000,1.0000,3.3333,3.6667,4.0000,4.1667,1.1667,4.5000,5.0000,5.0000,5.0000,4.3333,4.8333,5.0000
financial_concept_explanation,task_category,fixed_k4,6,4,4.00,4.00,18.33,17.50,0.0833,22927.5,1.00,1.00,0.00,2.00,6.66,68.25,4.8333,1.3333,4.0000,4.6667,4.6667,5.0000,4.4000,5.0000,1.0000,3.4000,4.8333,4.8333,3.4000,3.6000,4.0000,1.8000,3.2000,3.6000,4.2000,4.2000,1.1667,5.0000,5.0000,5.0000,4.8333,5.0000,5.0000,5.0000
financial_concept_explanation,task_category,fixed_k8,6,8,8.00,8.00,34.83,29.00,0.1292,44049.2,1.00,1.00,0.00,2.00,13.61,78.82,5.0000,1.0000,4.6667,5.0000,5.0000,4.8333,4.6000,5.0000,1.0000,3.8000,5.0000,5.0000,4.2000,4.6000,4.6000,1.0000,4.2000,3.8000,4.6000,4.8000,1.0000,5.0000,5.0000,5.0000,4.8333,5.0000,5.0000,5.0000
financial_decision_strategy,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,5954.3,1.00,1.00,0.00,2.00,1.92,69.53,5.0000,1.0000,1.1667,1.0000,2.1667,4.6667,3.5000,4.6667,1.0000,3.0000,4.5000,4.5000,2.5000,2.5000,2.8333,1.0000,2.1667,3.0000,3.1667,3.3333,1.5000,2.3333,5.0000,5.0000,4.6667,2.3333,4.5000,5.0000
financial_decision_strategy,task_category,fixed_k2,6,2,2.00,2.00,10.00,9.00,0.0000,11512.0,1.00,1.00,0.00,2.00,3.63,71.51,4.6667,1.3333,2.5000,2.3333,3.1667,4.6667,3.8333,5.0000,1.1667,2.8333,4.5000,4.6667,3.1667,3.0000,3.6667,1.0000,3.1667,2.8333,4.0000,3.3333,1.3333,3.6667,5.0000,5.0000,4.8333,3.8333,4.6667,4.8333
financial_decision_strategy,task_category,fixed_k4,6,4,4.00,4.00,18.67,16.67,0.0667,22065.8,1.00,1.00,0.00,2.00,6.47,75.98,5.0000,1.3333,3.1667,4.5000,4.5000,5.0000,4.1667,4.8333,1.0000,3.3333,5.0000,4.6667,3.8333,3.3333,4.1667,1.0000,3.3333,3.3333,4.3333,3.8333,1.3333,4.5000,4.8333,5.0000,4.6667,4.3333,4.8333,5.0000
financial_decision_strategy,task_category,fixed_k8,6,8,8.00,8.00,36.83,32.33,0.0792,45438.0,1.00,1.00,0.00,2.00,12.78,87.58,4.8333,1.1667,4.5000,5.0000,5.0000,5.0000,4.6667,5.0000,1.0000,3.3333,5.0000,4.8333,4.1667,4.0000,4.5000,1.0000,4.0000,3.6667,4.6667,4.1667,1.1667,4.5000,5.0000,5.0000,4.8333,4.3333,4.8333,5.0000
form_policy_deadline_lookup,task_category,fixed_k1,6,1,1.00,1.00,5.00,4.83,0.0000,6620.0,1.00,1.00,0.00,2.00,1.45,75.87,4.3333,1.0000,1.1667,1.0000,2.1667,4.6667,3.3333,4.6667,1.0000,2.8333,4.5000,4.5000,3.1667,3.8333,4.0000,1.6667,3.0000,3.0000,3.6667,4.0000,1.5000,3.5000,5.0000,5.0000,4.3333,3.0000,4.5000,5.0000
form_policy_deadline_lookup,task_category,fixed_k2,6,2,2.00,2.00,9.33,8.50,0.0667,12058.2,1.00,1.00,0.00,2.00,2.96,79.18,5.0000,1.0000,3.6667,3.5000,3.8333,4.6667,3.6667,4.6667,1.0000,2.6667,4.4667,4.3000,3.5000,3.6667,4.5000,1.0000,3.3333,2.6667,4.0000,3.8333,1.7500,4.0000,5.0000,5.0000,4.5000,4.1667,4.5000,5.0000
form_policy_deadline_lookup,task_category,fixed_k4,6,4,4.00,4.00,16.67,14.17,0.1667,21221.7,1.00,1.00,0.00,2.00,6.59,83.20,4.8333,1.0000,3.8333,4.3333,4.3333,4.8333,4.0000,5.0000,1.0000,3.0000,5.0000,5.0000,3.6667,4.0000,4.5000,1.0000,3.6667,3.0000,4.1667,4.1667,1.0000,4.5000,5.0000,5.0000,4.8333,4.6667,4.8333,5.0000
form_policy_deadline_lookup,task_category,fixed_k8,6,8,8.00,8.00,31.00,25.00,0.2250,38894.0,1.00,1.00,0.00,2.00,13.62,95.87,5.0000,1.0000,4.0000,4.6667,4.3333,4.8333,3.8333,5.0000,1.0000,3.3333,5.0000,5.0000,3.5000,4.1667,4.5000,1.0000,3.3333,3.5000,4.0000,4.5000,1.0000,4.5000,5.0000,5.0000,4.8333,4.5000,4.8333,5.0000
jurisdiction_resource_lookup,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,6157.3,1.00,1.00,0.00,2.00,1.71,66.68,4.0000,1.0000,1.1667,1.0000,2.1667,4.5000,3.1667,5.0000,1.0000,2.5000,4.6667,4.6667,2.1667,3.0000,3.0000,1.0000,2.0000,2.5000,3.0000,3.1667,1.5000,2.1667,5.0000,5.0000,3.8333,2.6667,3.3333,5.0000
