method,macro_domain,sample_count,assessor_calls_mean,assessor_latency_mean,duplicate_url_rate_mean,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,planner_calls_mean,realized_k_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean,search_latency_mean,synthesis_calls_mean,synthesis_latency_mean,tavily_calls_mean,total_latency_mean,total_llm_calls_mean,total_retrieved_context_size_mean,total_synthesis_context_size_mean,unique_domains_mean,unique_urls_mean,assessor_calls_sem,assessor_latency_sem,duplicate_url_rate_sem,fanout_faithfulness_to_user_query_sem,fanout_overpersonalization_risk_sem,fanout_persona_field_use_sem,fanout_query_diversity_sem,fanout_query_specificity_sem,fanout_search_realism_sem,final_actionability_without_overclaiming_sem,final_citation_support_sem,final_contradiction_with_evidence_sem,final_domain_safety_sem,final_evidence_usage_quality_sem,final_groundedness_sem,final_intent_satisfaction_sem,final_missing_constraint_awareness_sem,final_non_genericness_sem,final_overpersonalization_sem,final_personalization_target_use_sem,final_safety_sem,final_specificity_sem,final_uncertainty_calibration_sem,final_unsupported_claim_risk_sem,planner_calls_sem,realized_k_sem,retrieval_constraint_coverage_sem,retrieval_disconfirming_coverage_sem,retrieval_distractor_robustness_sem,retrieval_evidence_relevance_sem,retrieval_result_persona_fit_sem,retrieval_source_quality_sem,retrieval_unsafe_or_overpersonalized_retrieval_risk_sem,search_latency_sem,synthesis_calls_sem,synthesis_latency_sem,tavily_calls_sem,total_latency_sem,total_llm_calls_sem,total_retrieved_context_size_sem,total_synthesis_context_size_sem,unique_domains_sem,unique_urls_sem
fixed_k1,education,24,0.0000,0.0000,0.0000,4.8333,1.0000,1.0833,1.0000,2.0417,4.7500,3.3333,4.9583,1.0417,4.0833,4.6917,4.6708,2.0417,2.5000,2.5833,2.0417,1.8750,4.2917,3.1250,3.4583,1.3542,0.9583,1.0000,2.0833,5.0000,5.0000,4.4583,2.1667,3.8750,5.0000,2.0277,1.0000,9.7205,1.0000,62.8551,1.9583,6652.7083,6652.7083,5.0000,5.0000,0.0000,0.0000,0.0000,0.0983,0.0000,0.0576,0.0000,0.0417,0.0903,0.1871,0.0417,0.0417,0.3064,0.1523,0.1258,0.1853,0.2408,0.1694,0.2790,0.1933,0.2657,0.1512,0.2083,0.1258,0.0417,0.0000,0.2163,0.0000,0.0000,0.1700,0.2225,0.1735,0.0000,0.2217,0.0000,0.3577,0.0000,3.4745,0.0417,144.0467,144.0467,0.0000,0.0000
fixed_k1,legal_info,24,0.0000,0.0000,0.0000,4.5000,1.0000,1.0833,1.0000,2.2500,4.6250,3.0417,4.9167,1.0000,2.5833,4.6667,4.6667,2.4583,2.9167,3.1667,1.4167,2.2083,2.8333,3.2500,3.1667,1.3333,1.0000,1.0000,2.5000,5.0000,5.0000,4.0000,2.7083,3.7500,5.0000,1.4217,1.0000,9.0862,1.0000,65.7643,2.0000,6473.5417,6473.5417,4.9583,5.0000,0.0000,0.0000,0.0000,0.1806,0.0000,0.0576,0.0000,0.1241,0.1009,0.2039,0.0833,0.0000,0.2618,0.1554,0.1554,0.2330,0.2325,0.2383,0.2325,0.2948,0.2383,0.2191,0.2142,0.1554,0.0000,0.0000,0.2692,0.0000,0.0000,0.2692,0.2724,0.2272,0.0000,0.1086,0.0000,0.4298,0.0000,3.2348,0.0000,171.2457,171.2457,0.0417,0.0000
fixed_k1,personal_finance,24,0.0000,0.0000,0.0000,4.6250,1.0000,1.1667,1.0000,2.0833,4.7500,3.3542,4.9167,1.0000,2.9167,4.6667,4.5750,2.5625,2.9167,3.0833,1.2917,2.6250,3.1250,3.3333,3.4167,1.4375,1.0000,1.0000,2.7500,5.0000,5.0000,4.3333,2.4167,4.5000,5.0000,1.6593,1.0000,8.9035,1.0000,69.3537,2.0000,6113.7083,6113.7083,4.9167,5.0000,0.0000,0.0000,0.0000,0.1682,0.0000,0.0777,0.0000,0.0833,0.0903,0.1818,0.0833,0.0000,0.2401,0.1153,0.1326,0.2070,0.2246,0.2548,0.2039,0.2811,0.2431,0.1871,0.2325,0.1323,0.0000,0.0000,0.2641,0.0000,0.0000,0.2225,0.2476,0.1593,0.0000,0.1294,0.0000,0.2735,0.0000,3.3284,0.0000,251.1534,251.1534,0.0833,0.0000
fixed_k2,education,24,0.0000,0.0000,0.0213,4.9583,1.2083,2.5000,2.3333,3.0833,4.5000,3.8750,4.9583,1.0000,4.2083,4.8750,4.8333,2.7500,3.1250,3.0833,1.6667,2.4583,4.2917,3.4167,3.7917,1.2083,0.9583,2.0000,3.5417,4.8333,5.0000,4.5833,4.0417,4.5000,5.0000,3.9385,1.0000,10.6498,2.0000,65.6951,1.9583,13064.0833,12815.0833,9.4583,9.7500,0.0000,0.0000,0.0087,0.0417,0.1039,0.1703,0.0983,0.1464,0.1204,0.2025,0.0417,0.0000,0.2622,0.0915,0.0983,0.2019,0.2431,0.1989,0.2305,0.2480,0.2290,0.1583,0.1901,0.1039,0.0417,0.0000,0.2406,0.1667,0.0000,0.1464,0.2290,0.1703,0.0000,0.4047,0.0000,0.3548,0.0000,3.5900,0.0417,416.1183,435.3916,0.1201,0.1085
fixed_k2,legal_info,24,0.0000,0.0000,0.0458,4.9583,1.1667,2.8750,2.8333,3.5417,4.6667,3.4583,4.9167,1.0000,2.7083,4.8250,4.7833,2.8750,3.0000,3.7500,1.2083,2.5833,2.7500,3.5417,3.4167,1.2292,1.0000,2.0000,3.7917,5.0000,5.0000,4.5833,4.1667,4.1667,5.0000,2.8847,1.0000,9.9104,2.0000,68.0515,2.0000,13039.3333,12422.1250,9.2917,9.5417,0.0000,0.0000,0.0159,0.0417,0.1153,0.2112,0.1966,0.1700,0.1300,0.1590,0.0833,0.0000,0.2126,0.1298,0.1340,0.1837,0.2170,0.1831,0.1472,0.2618,0.2107,0.1804,0.1989,0.1345,0.0000,0.0000,0.2552,0.0000,0.0000,0.1335,0.2056,0.2056,0.0000,0.2030,0.0000,0.2679,0.0000,3.3724,0.0000,260.3203,292.0414,0.1949,0.1590
fixed_k2,personal_finance,24,0.0000,0.0000,0.0250,4.4167,1.4167,2.3750,2.3750,3.1250,4.6667,3.7083,5.0000,1.0417,2.8750,4.8333,4.8750,3.0000,3.2083,3.5417,1.2917,3.2500,3.1250,3.8333,3.7083,1.1667,1.0000,2.0000,4.0417,5.0000,5.0000,4.7083,4.0417,4.7083,4.9583,3.4473,1.0000,9.5649,2.0000,71.8032,2.0000,12355.8750,12007.7917,9.0000,9.7500,0.0000,0.0000,0.0124,0.1797,0.1694,0.1571,0.1009,0.1933,0.0983,0.1409,0.0000,0.0417,0.2355,0.0777,0.0690,0.2085,0.2330,0.2330,0.1853,0.2964,0.2112,0.2056,0.2210,0.0777,0.0000,0.0000,0.2126,0.0000,0.0000,0.1532,0.1853,0.1409,0.0417,0.1979,0.0000,0.2693,0.0000,3.3093,0.0000,435.3671,435.6602,0.2085,0.1241
fixed_k4,education,24,0.0000,0.0000,0.0732,4.9167,1.1250,3.5833,4.6250,4.3750,4.7917,4.1250,4.9583,1.0000,4.2917,4.8042,4.6375,3.2083,3.7500,3.7500,1.4583,3.0417,4.4167,3.9167,4.2083,1.3833,0.9583,4.0000,4.3750,4.7083,5.0000,4.8333,4.7500,4.8750,5.0000,7.8463,1.0000,11.8520,4.0000,70.8053,1.9583,25174.1667,23192.4583,16.7917,18.5000,0.0000,0.0000,0.0179,0.0576,0.0690,0.2078,0.1320,0.1451,0.0847,0.1512,0.0417,0.0000,0.2444,0.0986,0.1137,0.2169,0.2351,0.2019,0.1804,0.2854,0.2078,0.1797,0.1590,0.1167,0.0417,0.0000,0.1682,0.1853,0.0000,0.0777,0.0903,0.0690,0.0000,0.7110,0.0000,0.4407,0.0000,3.6986,0.0417,671.7415,668.8042,0.4340,0.3661
fixed_k4,legal_info,24,0.0000,0.0000,0.0896,4.9167,1.0833,3.8333,4.6250,4.4583,4.8750,3.7917,5.0000,1.0000,3.0000,5.0000,5.0000,3.2083,3.5417,4.0833,1.2083,2.8750,3.0417,3.7917,3.7917,1.0000,1.0000,4.0000,4.3333,4.8333,5.0000,4.7917,4.5833,4.8333,5.0000,6.2246,1.0000,10.6334,4.0000,72.1145,2.0000,25628.5000,23336.8333,17.0417,18.2083,0.0000,0.0000,0.0190,0.0576,0.0576,0.1966,0.1787,0.1343,0.0690,0.1994,0.0000,0.0000,0.2408,0.0000,0.0000,0.1994,0.2169,0.1896,0.1343,0.2843,0.2368,0.1700,0.1994,0.0000,0.0000,0.0000,0.1966,0.1153,0.0000,0.1039,0.1464,0.0983,0.0000,0.3789,0.0000,0.4965,0.0000,3.2862,0.0000,372.2215,509.4482,0.4642,0.3806
fixed_k4,personal_finance,24,0.0000,0.0000,0.0979,4.7083,1.2500,3.5000,4.5000,4.2500,4.9167,3.8696,4.9583,1.0000,3.0435,4.9167,4.8333,3.3043,3.5217,3.9130,1.5217,3.3913,3.1739,4.0870,3.8696,1.1667,1.0000,4.0000,4.5417,4.9167,5.0000,4.7083,4.5417,4.8750,5.0000,6.3711,1.0000,10.2839,4.0000,75.4460,2.0000,25170.7917,22588.2500,16.1667,18.0417,0.0000,0.0000,0.0166,0.1409,0.1085,0.2252,0.1474,0.2019,0.0576,0.1579,0.0417,0.0000,0.2130,0.0576,0.0777,0.2031,0.2166,0.2077,0.2658,0.2722,0.2236,0.1769,0.2018,0.0777,0.0000,0.0000,0.1901,0.0576,0.0000,0.1123,0.1472,0.0915,0.0000,0.2561,0.0000,0.3279,0.0000,3.3159,0.0000,531.3246,581.0861,0.4368,0.3323
fixed_k8,education,24,0.0000,0.0000,0.0689,4.8333,1.2083,4.5000,4.9583,4.8333,4.7917,4.3750,5.0000,1.0000,4.1250,5.0000,4.8750,3.5208,3.6667,4.1667,1.5833,3.3750,4.2917,4.2292,4.1458,1.1250,0.9583,8.0000,4.4583,4.7083,5.0000,4.7500,4.6250,4.8750,4.9583,15.7699,1.0000,17.7130,8.0000,84.5898,1.9583,49625.9167,45835.7500,30.9583,37.1667,0.0000,0.0000,0.0146,0.0983,0.1472,0.1806,0.0417,0.0777,0.1201,0.1451,0.0000,0.0000,0.2645,0.0000,0.0690,0.2159,0.2530,0.1871,0.1896,0.2875,0.2290,0.1702,0.2030,0.0690,0.0417,0.0000,0.1590,0.1753,0.0000,0.0903,0.1175,0.0690,0.0417,1.3019,0.0000,0.6795,0.0000,3.9953,0.0417,936.0448,947.2660,0.8198,0.5826
