method,task_category,sample_count,assessor_calls_mean,assessor_latency_mean,duplicate_url_rate_mean,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,planner_calls_mean,realized_k_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean,search_latency_mean,synthesis_calls_mean,synthesis_latency_mean,tavily_calls_mean,total_latency_mean,total_llm_calls_mean,total_retrieved_context_size_mean,total_synthesis_context_size_mean,unique_domains_mean,unique_urls_mean,assessor_calls_sem,assessor_latency_sem,duplicate_url_rate_sem,fanout_faithfulness_to_user_query_sem,fanout_overpersonalization_risk_sem,fanout_persona_field_use_sem,fanout_query_diversity_sem,fanout_query_specificity_sem,fanout_search_realism_sem,final_actionability_without_overclaiming_sem,final_citation_support_sem,final_contradiction_with_evidence_sem,final_domain_safety_sem,final_evidence_usage_quality_sem,final_groundedness_sem,final_intent_satisfaction_sem,final_missing_constraint_awareness_sem,final_non_genericness_sem,final_overpersonalization_sem,final_personalization_target_use_sem,final_safety_sem,final_specificity_sem,final_uncertainty_calibration_sem,final_unsupported_claim_risk_sem,planner_calls_sem,realized_k_sem,retrieval_constraint_coverage_sem,retrieval_disconfirming_coverage_sem,retrieval_distractor_robustness_sem,retrieval_evidence_relevance_sem,retrieval_result_persona_fit_sem,retrieval_source_quality_sem,retrieval_unsafe_or_overpersonalized_retrieval_risk_sem,search_latency_sem,synthesis_calls_sem,synthesis_latency_sem,tavily_calls_sem,total_latency_sem,total_llm_calls_sem,total_retrieved_context_size_sem,total_synthesis_context_size_sem,unique_domains_sem,unique_urls_sem
fixed_k1,current_rule_limit_lookup,6,0.0000,0.0000,0.0000,4.5000,1.0000,1.0000,1.0000,1.8333,4.8333,3.1667,5.0000,1.0000,3.0000,5.0000,5.0000,2.5000,3.8333,3.5000,1.5000,3.0000,3.3333,3.8333,4.1667,1.0000,1.0000,1.0000,3.1667,5.0000,5.0000,4.0000,2.5000,4.3333,5.0000,1.8669,1.0000,8.9309,1.0000,68.4817,2.0000,6391.8333,6391.8333,4.6667,5.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.1667,0.1667,0.4773,0.0000,0.0000,0.5164,0.0000,0.0000,0.5627,0.6009,0.5627,0.5000,0.6831,0.4216,0.4014,0.4773,0.0000,0.0000,0.0000,0.7491,0.0000,0.0000,0.6831,0.6191,0.4944,0.0000,0.3220,0.0000,0.5331,0.0000,5.3514,0.0000,137.7354,137.7354,0.3333,0.0000
fixed_k1,financial_concept_explanation,6,0.0000,0.0000,0.0000,4.6667,1.0000,1.3333,1.0000,2.3333,4.8333,3.7500,5.0000,1.0000,3.5000,4.6667,4.4667,3.0833,2.8333,3.3333,1.0000,3.5000,3.6667,3.6667,3.6667,1.5833,1.0000,1.0000,3.3333,5.0000,5.0000,4.8333,3.0000,4.8333,5.0000,1.5077,1.0000,9.0760,1.0000,61.4385,2.0000,6417.3333,6417.3333,5.0000,5.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.2108,0.0000,0.2108,0.1667,0.2500,0.0000,0.0000,0.4282,0.2108,0.2108,0.4167,0.3073,0.6146,0.0000,0.4282,0.4216,0.4216,0.4216,0.2007,0.0000,0.0000,0.5578,0.0000,0.0000,0.1667,0.5774,0.1667,0.0000,0.2553,0.0000,0.5035,0.0000,4.8951,0.0000,245.8997,245.8997,0.0000,0.0000
fixed_k1,financial_decision_strategy,6,0.0000,0.0000,0.0000,5.0000,1.0000,1.1667,1.0000,2.1667,4.6667,3.5000,4.6667,1.0000,3.0000,4.5000,4.5000,2.5000,2.5000,2.8333,1.0000,2.1667,3.0000,3.1667,3.3333,1.5000,1.0000,1.0000,2.3333,5.0000,5.0000,4.6667,2.3333,4.5000,5.0000,1.9238,1.0000,8.9495,1.0000,69.5278,2.0000,5954.3333,5954.3333,5.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.1667,0.2108,0.2236,0.3333,0.0000,0.5164,0.3416,0.3416,0.3416,0.3416,0.4773,0.0000,0.6009,0.5164,0.3073,0.2108,0.3416,0.0000,0.0000,0.2108,0.0000,0.0000,0.2108,0.2108,0.2236,0.0000,0.2333,0.0000,0.6816,0.0000,6.6928,0.0000,513.4966,513.4966,0.0000,0.0000
fixed_k1,form_policy_deadline_lookup,6,0.0000,0.0000,0.0000,4.3333,1.0000,1.1667,1.0000,2.1667,4.6667,3.3333,4.6667,1.0000,2.8333,4.5000,4.5000,3.1667,3.8333,4.0000,1.6667,3.0000,3.0000,3.6667,4.0000,1.5000,1.0000,1.0000,3.5000,5.0000,5.0000,4.3333,3.0000,4.5000,5.0000,1.4464,1.0000,7.2858,1.0000,75.8663,2.0000,6620.0000,6620.0000,4.8333,5.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.1667,0.0000,0.3073,0.2108,0.3333,0.3333,0.0000,0.5426,0.5000,0.5000,0.4014,0.1667,0.5164,0.6667,0.6831,0.5164,0.6146,0.2582,0.5000,0.0000,0.0000,0.6191,0.0000,0.0000,0.4944,0.6325,0.3416,0.0000,0.1903,0.0000,0.7585,0.0000,4.6483,0.0000,269.4108,269.4108,0.1667,0.0000
fixed_k1,jurisdiction_resource_lookup,6,0.0000,0.0000,0.0000,4.0000,1.0000,1.1667,1.0000,2.1667,4.5000,3.1667,5.0000,1.0000,2.5000,4.6667,4.6667,2.1667,3.0000,3.0000,1.0000,2.0000,2.5000,3.0000,3.1667,1.5000,1.0000,1.0000,2.1667,5.0000,5.0000,3.8333,2.6667,3.3333,5.0000,1.7140,1.0000,9.6120,1.0000,66.6809,2.0000,6157.3333,6157.3333,5.0000,5.0000,0.0000,0.0000,0.0000,0.5164,0.0000,0.1667,0.0000,0.3073,0.2236,0.3073,0.0000,0.0000,0.4282,0.3333,0.3333,0.1667,0.2582,0.2582,0.0000,0.3651,0.4282,0.2582,0.3073,0.3416,0.0000,0.0000,0.4773,0.0000,0.0000,0.6540,0.4216,0.6146,0.0000,0.3289,0.0000,0.6179,0.0000,9.0217,0.0000,521.1088,521.1088,0.0000,0.0000
fixed_k1,legal_decision_strategy,6,0.0000,0.0000,0.0000,4.6667,1.0000,1.0000,1.0000,2.1667,4.5000,2.6667,5.0000,1.0000,2.5000,4.5000,4.5000,2.0000,2.5000,2.5000,1.1667,1.8333,3.0000,2.8333,2.6667,1.3333,1.0000,1.0000,1.6667,5.0000,5.0000,3.5000,1.8333,3.5000,5.0000,1.1978,1.0000,9.7287,1.0000,56.1224,2.0000,6668.8333,6668.8333,5.0000,5.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.1667,0.2236,0.5578,0.0000,0.0000,0.5627,0.2236,0.2236,0.6325,0.5627,0.5627,0.1667,0.6540,0.4472,0.4773,0.4944,0.2108,0.0000,0.0000,0.3333,0.0000,0.0000,0.3416,0.3073,0.3416,0.0000,0.1410,0.0000,0.9855,0.0000,2.0055,0.0000,160.6718,160.6718,0.0000,0.0000
fixed_k1,legal_issue_explanation,6,0.0000,0.0000,0.0000,5.0000,1.0000,1.0000,1.0000,2.5000,4.8333,3.0000,5.0000,1.0000,2.5000,5.0000,5.0000,2.5000,2.3333,3.1667,1.8333,2.0000,2.8333,3.5000,2.8333,1.0000,1.0000,1.0000,2.6667,5.0000,5.0000,4.3333,3.3333,3.6667,5.0000,1.3285,1.0000,9.7183,1.0000,64.3875,2.0000,6448.0000,6448.0000,5.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2236,0.1667,0.4472,0.0000,0.0000,0.6708,0.0000,0.0000,0.5000,0.5578,0.4014,0.6540,0.6325,0.6009,0.3416,0.4773,0.0000,0.0000,0.0000,0.4944,0.0000,0.0000,0.6667,0.6667,0.4216,0.0000,0.1534,0.0000,0.7772,0.0000,6.7801,0.0000,370.9230,370.9230,0.0000,0.0000
fixed_k1,personal_decision_strategy,6,0.0000,0.0000,0.0000,5.0000,1.0000,1.1667,1.0000,2.1667,4.6667,3.0000,4.8333,1.1667,3.5000,4.4667,4.6333,1.8333,2.3333,2.0000,2.1667,1.8333,3.8333,3.0000,3.1667,1.4167,1.0000,1.0000,2.5000,5.0000,5.0000,4.8333,2.6667,4.1667,5.0000,2.2239,1.0000,10.9710,1.0000,60.5432,2.0000,6930.6667,6930.6667,5.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.1667,0.2108,0.2582,0.1667,0.1667,0.7188,0.4944,0.3283,0.1667,0.3333,0.0000,0.5426,0.3073,0.5426,0.2582,0.1667,0.3270,0.0000,0.0000,0.3416,0.0000,0.0000,0.1667,0.3333,0.3073,0.0000,0.4578,0.0000,0.7808,0.0000,1.6574,0.0000,186.5550,186.5550,0.0000,0.0000
fixed_k1,product_or_program_comparison,6,0.0000,0.0000,0.0000,4.3333,1.0000,1.1667,1.0000,2.0000,4.6667,3.0000,5.0000,1.0000,2.1667,4.5000,4.3333,2.1667,2.5000,2.6667,1.6667,1.8333,2.5000,2.6667,2.5000,1.6667,1.0000,1.0000,2.1667,5.0000,5.0000,3.8333,1.8333,4.3333,5.0000,1.3388,1.0000,8.6574,1.0000,77.9669,2.0000,5691.3333,5691.3333,5.0000,5.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.1667,0.0000,0.0000,0.2108,0.4472,0.0000,0.0000,0.4014,0.2236,0.3333,0.3073,0.3416,0.4216,0.6667,0.3073,0.5627,0.2108,0.5000,0.3333,0.0000,0.0000,0.4014,0.0000,0.0000,0.4773,0.4773,0.3333,0.0000,0.1923,0.0000,0.5964,0.0000,8.8837,0.0000,861.8880,861.8880,0.0000,0.0000
fixed_k1,shopping_product_recommendation,6,0.0000,0.0000,0.0000,4.8333,1.0000,1.1667,1.0000,2.0000,5.0000,3.1667,5.0000,1.0000,4.5000,5.0000,5.0000,1.8333,2.1667,2.3333,2.3333,1.3333,4.5000,3.1667,3.1667,1.0000,1.0000,1.0000,1.6667,5.0000,5.0000,5.0000,1.8333,4.3333,5.0000,2.1052,1.0000,9.8153,1.0000,69.8916,2.0000,6779.5000,6779.5000,5.0000,5.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.1667,0.0000,0.0000,0.0000,0.3073,0.0000,0.0000,0.5000,0.0000,0.0000,0.1667,0.3073,0.2108,0.6146,0.2108,0.5000,0.3073,0.3073,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.3073,0.2108,0.0000,0.3400,0.0000,0.8366,0.0000,6.4794,0.0000,237.3822,237.3822,0.0000,0.0000
