macro_domain,task_type,metric,contrast_name,variant_a,variant_b,mean_a,mean_b,diff_a_minus_b,higher_is_better
education,retrieval_sensitive,fanout_faithfulness_to_user_query,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,4.47,4.40,0.07,true
education,retrieval_sensitive,fanout_faithfulness_to_user_query,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,4.73,4.47,0.27,true
education,retrieval_sensitive,fanout_faithfulness_to_user_query,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,4.73,4.40,0.33,true
education,retrieval_sensitive,fanout_faithfulness_to_user_query,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,4.93,4.73,0.20,true
education,retrieval_sensitive,fanout_overpersonalization_risk,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,1.00,1.00,0.00,false
education,retrieval_sensitive,fanout_overpersonalization_risk,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,1.40,1.00,0.40,false
education,retrieval_sensitive,fanout_overpersonalization_risk,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,1.40,1.00,0.40,false
education,retrieval_sensitive,fanout_overpersonalization_risk,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,1.00,1.40,-0.40,false
education,retrieval_sensitive,fanout_persona_field_use,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,1.87,2.13,-0.27,true
education,retrieval_sensitive,fanout_persona_field_use,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,4.33,1.87,2.47,true
education,retrieval_sensitive,fanout_persona_field_use,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,4.33,2.13,2.20,true
education,retrieval_sensitive,fanout_persona_field_use,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,4.20,4.33,-0.13,true
education,retrieval_sensitive,fanout_query_diversity,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,3.27,3.60,-0.33,true
education,retrieval_sensitive,fanout_query_diversity,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,4.60,3.27,1.33,true
education,retrieval_sensitive,fanout_query_diversity,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,4.60,3.60,1.00,true
education,retrieval_sensitive,fanout_query_diversity,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,4.93,4.60,0.33,true
education,retrieval_sensitive,fanout_query_specificity,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,2.93,3.27,-0.33,true
