variant,macro_domain,task_type,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_domain_safety_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean
V0_generic_single,education,retrieval_sensitive,5.00,1.00,1.00,1.00,1.60,3.67,2.47,2.87,4.20,1.73,2.13,2.07,1.80,1.40,3.00,2.60,2.07,5.00,5.00,3.67,1.73,3.53,5.00
V1_generic_fanout,education,retrieval_sensitive,4.40,1.00,2.13,3.60,3.27,4.87,3.00,3.20,3.93,2.13,2.40,2.73,2.20,2.13,3.27,3.47,2.87,5.00,5.00,4.20,3.00,3.93,5.00
V2_synthesis_only_personalization,education,retrieval_sensitive,4.47,1.00,1.87,3.27,2.93,5.00,3.67,3.60,4.40,3.00,3.00,3.53,1.33,2.87,3.53,3.87,2.60,5.00,5.00,4.00,2.40,4.13,5.00
V3_personalized_fanout,education,retrieval_sensitive,4.73,1.40,4.33,4.60,4.67,4.93,3.87,3.53,4.60,3.67,3.47,4.27,1.20,3.67,3.60,4.13,3.53,4.87,4.73,4.67,4.00,4.20,4.93
V4_mixed_fanout,education,retrieval_sensitive,4.93,1.00,4.20,4.93,4.73,4.93,3.87,4.07,4.40,3.60,3.73,4.00,1.60,3.47,4.07,4.07,2.47,1.67,5.00,3.93,2.40,4.07,5.00
V0_generic_single,education,synthesis_sensitive,5.00,1.00,1.00,1.00,1.87,3.53,2.80,3.33,4.73,1.93,2.07,2.13,1.00,2.07,3.33,2.67,2.53,5.00,5.00,4.27,2.60,3.47,5.00
V1_generic_fanout,education,synthesis_sensitive,4.93,1.00,2.27,3.47,3.40,5.00,3.13,3.47,4.33,2.27,2.33,2.40,1.33,2.40,3.47,3.33,2.40,4.87,5.00,4.27,2.60,3.87,5.00
V2_synthesis_only_personalization,education,synthesis_sensitive,4.93,1.00,2.23,3.63,3.27,5.00,3.87,3.73,4.53,3.27,3.27,3.67,1.13,3.47,3.67,4.00,2.67,4.53,5.00,4.27,2.87,3.93,5.00
V3_personalized_fanout,education,synthesis_sensitive,4.87,1.00,4.87,4.87,5.00,5.00,4.53,4.00,4.80,3.93,3.87,4.47,1.00,4.07,4.07,4.47,2.93,4.53,5.00,4.20,3.80,3.93,4.67
V4_mixed_fanout,education,synthesis_sensitive,5.00,1.00,4.73,5.00,5.00,5.00,4.33,3.87,4.73,3.80,3.93,4.27,1.07,4.07,3.87,4.47,2.33,1.47,5.00,3.73,2.13,3.40,5.00
