variant,macro_domain,task_type,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_domain_safety_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean
V0_generic_single,education,retrieval_sensitive,5.00,1.00,1.00,1.00,1.47,3.47,2.43,2.79,4.21,1.64,2.00,1.79,2.07,1.29,2.79,2.21,2.13,5.00,5.00,3.87,1.80,3.53,5.00
V1_generic_fanout,education,retrieval_sensitive,4.33,1.00,2.20,3.47,2.93,4.87,2.93,3.50,4.29,2.14,2.50,2.64,1.86,1.86,3.50,3.43,2.87,5.00,5.00,4.13,3.00,4.20,5.00
V2_synthesis_only_personalization,education,retrieval_sensitive,4.47,1.00,1.87,3.40,2.87,5.00,3.71,3.64,4.64,2.93,3.00,3.57,1.21,2.93,3.79,3.93,2.60,5.00,5.00,4.00,2.53,3.93,5.00
V3_personalized_fanout,education,retrieval_sensitive,4.73,1.60,4.20,4.47,4.67,4.93,3.80,3.47,4.40,3.53,3.53,4.27,1.33,3.60,3.40,4.33,3.73,4.93,4.73,4.73,4.20,4.27,4.93
V4_mixed_fanout,education,retrieval_sensitive,4.80,1.13,4.07,4.87,4.60,4.80,4.00,4.07,4.33,3.53,3.73,4.13,1.53,3.60,4.07,4.07,2.60,1.47,5.00,3.93,2.40,3.87,5.00
V0_generic_single,education,synthesis_sensitive,5.00,1.00,1.00,1.00,1.80,3.53,2.73,3.13,4.40,1.80,2.20,1.87,1.13,1.93,3.20,2.67,2.67,5.00,5.00,4.13,2.67,3.53,5.00
V1_generic_fanout,education,synthesis_sensitive,4.93,1.00,2.07,3.47,3.13,5.00,3.13,3.47,4.80,2.13,2.33,2.27,1.40,2.27,3.53,3.13,2.33,4.73,5.00,4.27,2.53,3.73,5.00
V2_synthesis_only_personalization,education,synthesis_sensitive,5.00,1.00,2.13,3.60,3.13,5.00,4.14,3.64,4.43,3.57,3.50,3.79,1.14,3.57,3.64,4.00,2.60,4.67,5.00,4.33,2.67,3.93,5.00
V3_personalized_fanout,education,synthesis_sensitive,4.87,1.13,4.93,4.87,5.00,5.00,4.47,4.20,4.60,4.07,3.87,4.40,1.00,4.20,4.13,4.47,3.13,4.53,5.00,4.33,3.93,3.93,4.80
V4_mixed_fanout,education,synthesis_sensitive,5.00,1.00,4.80,5.00,4.93,4.93,4.33,3.93,4.60,3.87,3.93,4.20,1.20,4.20,3.93,4.40,2.33,1.53,5.00,3.93,2.40,3.67,5.00
