task_type,metric,contrast_name,variant_a,variant_b,mean_a,mean_b,diff_a_minus_b,higher_is_better
synthesis_sensitive,fanout_faithfulness_to_user_query,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,4.92,4.92,0.00,true
synthesis_sensitive,fanout_faithfulness_to_user_query,fanout personalization effect,V3_fanout_only_personalization,V1_generic_fanout,4.94,4.92,0.03,true
synthesis_sensitive,fanout_faithfulness_to_user_query,joint personalization gain,V4_personalized_fanout,V1_generic_fanout,4.92,4.92,0.00,true
synthesis_sensitive,fanout_faithfulness_to_user_query,marginal fanout effect given personalized synthesis,V4_personalized_fanout,V2_synthesis_only_personalization,4.92,4.92,0.00,true
synthesis_sensitive,fanout_faithfulness_to_user_query,marginal synthesis effect given personalized fanout,V4_personalized_fanout,V3_fanout_only_personalization,4.92,4.94,-0.03,true
synthesis_sensitive,fanout_faithfulness_to_user_query,mixed/disconfirming fan-out effect,V5_mixed_fanout,V4_personalized_fanout,4.94,4.92,0.03,true
synthesis_sensitive,fanout_overpersonalization_risk,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,1.00,1.00,0.00,false
synthesis_sensitive,fanout_overpersonalization_risk,fanout personalization effect,V3_fanout_only_personalization,V1_generic_fanout,1.08,1.00,0.08,false
synthesis_sensitive,fanout_overpersonalization_risk,joint personalization gain,V4_personalized_fanout,V1_generic_fanout,1.08,1.00,0.08,false
synthesis_sensitive,fanout_overpersonalization_risk,marginal fanout effect given personalized synthesis,V4_personalized_fanout,V2_synthesis_only_personalization,1.08,1.00,0.08,false
synthesis_sensitive,fanout_overpersonalization_risk,marginal synthesis effect given personalized fanout,V4_personalized_fanout,V3_fanout_only_personalization,1.08,1.08,0.00,false
synthesis_sensitive,fanout_overpersonalization_risk,mixed/disconfirming fan-out effect,V5_mixed_fanout,V4_personalized_fanout,1.08,1.08,0.00,false
synthesis_sensitive,fanout_persona_field_use,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,2.17,1.81,0.36,true
synthesis_sensitive,fanout_persona_field_use,fanout personalization effect,V3_fanout_only_personalization,V1_generic_fanout,3.69,1.81,1.89,true
synthesis_sensitive,fanout_persona_field_use,joint personalization gain,V4_personalized_fanout,V1_generic_fanout,4.06,1.81,2.25,true
synthesis_sensitive,fanout_persona_field_use,marginal fanout effect given personalized synthesis,V4_personalized_fanout,V2_synthesis_only_personalization,4.06,2.17,1.89,true
synthesis_sensitive,fanout_persona_field_use,marginal synthesis effect given personalized fanout,V4_personalized_fanout,V3_fanout_only_personalization,4.06,3.69,0.36,true
synthesis_sensitive,fanout_persona_field_use,mixed/disconfirming fan-out effect,V5_mixed_fanout,V4_personalized_fanout,4.39,4.06,0.33,true
synthesis_sensitive,fanout_query_diversity,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,3.11,3.00,0.11,true
synthesis_sensitive,fanout_query_diversity,fanout personalization effect,V3_fanout_only_personalization,V1_generic_fanout,3.61,3.00,0.61,true
synthesis_sensitive,fanout_query_diversity,joint personalization gain,V4_personalized_fanout,V1_generic_fanout,4.00,3.00,1.00,true
synthesis_sensitive,fanout_query_diversity,marginal fanout effect given personalized synthesis,V4_personalized_fanout,V2_synthesis_only_personalization,4.00,3.11,0.89,true
synthesis_sensitive,fanout_query_diversity,marginal synthesis effect given personalized fanout,V4_personalized_fanout,V3_fanout_only_personalization,4.00,3.61,0.39,true
synthesis_sensitive,fanout_query_diversity,mixed/disconfirming fan-out effect,V5_mixed_fanout,V4_personalized_fanout,4.72,4.00,0.72,true
synthesis_sensitive,fanout_query_specificity,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,2.86,2.78,0.08,true
synthesis_sensitive,fanout_query_specificity,fanout personalization effect,V3_fanout_only_personalization,V1_generic_fanout,3.83,2.78,1.06,true
synthesis_sensitive,fanout_query_specificity,joint personalization gain,V4_personalized_fanout,V1_generic_fanout,4.28,2.78,1.50,true
synthesis_sensitive,fanout_query_specificity,marginal fanout effect given personalized synthesis,V4_personalized_fanout,V2_synthesis_only_personalization,4.28,2.86,1.42,true
synthesis_sensitive,fanout_query_specificity,marginal synthesis effect given personalized fanout,V4_personalized_fanout,V3_fanout_only_personalization,4.28,3.83,0.44,true
synthesis_sensitive,fanout_query_specificity,mixed/disconfirming fan-out effect,V5_mixed_fanout,V4_personalized_fanout,4.53,4.28,0.25,true
synthesis_sensitive,fanout_search_realism,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,4.50,4.53,-0.03,true
synthesis_sensitive,fanout_search_realism,fanout personalization effect,V3_fanout_only_personalization,V1_generic_fanout,4.56,4.53,0.03,true
synthesis_sensitive,fanout_search_realism,joint personalization gain,V4_personalized_fanout,V1_generic_fanout,4.72,4.53,0.19,true
synthesis_sensitive,fanout_search_realism,marginal fanout effect given personalized synthesis,V4_personalized_fanout,V2_synthesis_only_personalization,4.72,4.50,0.22,true
synthesis_sensitive,fanout_search_realism,marginal synthesis effect given personalized fanout,V4_personalized_fanout,V3_fanout_only_personalization,4.72,4.56,0.17,true
synthesis_sensitive,fanout_search_realism,mixed/disconfirming fan-out effect,V5_mixed_fanout,V4_personalized_fanout,4.83,4.72,0.11,true
synthesis_sensitive,final_actionability_without_overclaiming,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,4.28,3.75,0.53,true
synthesis_sensitive,final_actionability_without_overclaiming,fanout personalization effect,V3_fanout_only_personalization,V1_generic_fanout,4.17,3.75,0.42,true
synthesis_sensitive,final_actionability_without_overclaiming,joint personalization gain,V4_personalized_fanout,V1_generic_fanout,4.61,3.75,0.86,true
synthesis_sensitive,final_actionability_without_overclaiming,marginal fanout effect given personalized synthesis,V4_personalized_fanout,V2_synthesis_only_personalization,4.61,4.28,0.33,true
synthesis_sensitive,final_actionability_without_overclaiming,marginal synthesis effect given personalized fanout,V4_personalized_fanout,V3_fanout_only_personalization,4.61,4.17,0.44,true
synthesis_sensitive,final_actionability_without_overclaiming,mixed/disconfirming fan-out effect,V5_mixed_fanout,V4_personalized_fanout,4.50,4.61,-0.11,true
synthesis_sensitive,final_citation_support,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,1.36,1.53,-0.17,true
