[run_batch] 432 runs planned.
[1/432] done variant=V0_generic_single persona=budget_nonstem_student query_id=q_2
[2/432] done variant=V0_generic_single persona=budget_nonstem_student query_id=q_1
[3/432] done variant=V1_generic_fanout persona=budget_nonstem_student query_id=q_1
[4/432] done variant=V1_generic_fanout persona=budget_nonstem_student query_id=q_2
[5/432] done variant=V3_fanout_only_personalization persona=budget_nonstem_student query_id=q_1
[6/432] done variant=V2_synthesis_only_personalization persona=budget_nonstem_student query_id=q_1
[7/432] done variant=V5_mixed_fanout persona=budget_nonstem_student query_id=q_1
[8/432] done variant=V4_personalized_fanout persona=budget_nonstem_student query_id=q_1
[9/432] done variant=V2_synthesis_only_personalization persona=budget_nonstem_student query_id=q_2
[10/432] done variant=V0_generic_single persona=budget_highstem_phd query_id=q_3
[11/432] done variant=V3_fanout_only_personalization persona=budget_nonstem_student query_id=q_2
[12/432] done variant=V4_personalized_fanout persona=budget_nonstem_student query_id=q_2
[13/432] done variant=V5_mixed_fanout persona=budget_nonstem_student query_id=q_2
[14/432] done variant=V1_generic_fanout persona=budget_highstem_phd query_id=q_3
[15/432] done variant=V2_synthesis_only_personalization persona=budget_highstem_phd query_id=q_3
[16/432] done variant=V3_fanout_only_personalization persona=budget_highstem_phd query_id=q_3
[17/432] done variant=V0_generic_single persona=budget_nonstem_student query_id=q_4
[18/432] done variant=V4_personalized_fanout persona=budget_highstem_phd query_id=q_3
[19/432] done variant=V5_mixed_fanout persona=budget_highstem_phd query_id=q_3
[20/432] done variant=V2_synthesis_only_personalization persona=budget_nonstem_student query_id=q_4
[21/432] done variant=V0_generic_single persona=budget_nonstem_student query_id=q_5
[22/432] done variant=V1_generic_fanout persona=budget_nonstem_student query_id=q_4
[23/432] done variant=V3_fanout_only_personalization persona=budget_nonstem_student query_id=q_4
[24/432] done variant=V4_personalized_fanout persona=budget_nonstem_student query_id=q_4
[25/432] done variant=V5_mixed_fanout persona=budget_nonstem_student query_id=q_4
[26/432] done variant=V2_synthesis_only_personalization persona=budget_nonstem_student query_id=q_5
[27/432] done variant=V1_generic_fanout persona=budget_nonstem_student query_id=q_5
[28/432] done variant=V0_generic_single persona=budget_highstem_phd query_id=q_6
[29/432] done variant=V3_fanout_only_personalization persona=budget_nonstem_student query_id=q_5
[30/432] done variant=V4_personalized_fanout persona=budget_nonstem_student query_id=q_5
[31/432] done variant=V5_mixed_fanout persona=budget_nonstem_student query_id=q_5
[32/432] done variant=V4_personalized_fanout persona=budget_highstem_phd query_id=q_6
[33/432] done variant=V1_generic_fanout persona=budget_highstem_phd query_id=q_6
[34/432] done variant=V2_synthesis_only_personalization persona=budget_highstem_phd query_id=q_6
[35/432] done variant=V0_generic_single persona=budget_highstem_phd query_id=q_7
[36/432] done variant=V3_fanout_only_personalization persona=budget_highstem_phd query_id=q_6
[37/432] done variant=V1_generic_fanout persona=budget_highstem_phd query_id=q_7
[38/432] done variant=V5_mixed_fanout persona=budget_highstem_phd query_id=q_6
[39/432] done variant=V2_synthesis_only_personalization persona=budget_highstem_phd query_id=q_7
[40/432] done variant=V0_generic_single persona=budget_highstem_phd query_id=q_8
[41/432] done variant=V3_fanout_only_personalization persona=budget_highstem_phd query_id=q_7
[42/432] done variant=V4_personalized_fanout persona=budget_highstem_phd query_id=q_7
[43/432] done variant=V1_generic_fanout persona=budget_highstem_phd query_id=q_8
[44/432] done variant=V2_synthesis_only_personalization persona=budget_highstem_phd query_id=q_8
[45/432] done variant=V5_mixed_fanout persona=budget_highstem_phd query_id=q_7
[46/432] done variant=V3_fanout_only_personalization persona=budget_highstem_phd query_id=q_8
[47/432] done variant=V4_personalized_fanout persona=budget_highstem_phd query_id=q_8
[48/432] done variant=V0_generic_single persona=modbudget_nonstem_switcher query_id=q_9
[49/432] done variant=V5_mixed_fanout persona=budget_highstem_phd query_id=q_8
[50/432] done variant=V0_generic_single persona=modbudget_nonstem_switcher query_id=q_10
[51/432] done variant=V1_generic_fanout persona=modbudget_nonstem_switcher query_id=q_9
[52/432] done variant=V3_fanout_only_personalization persona=modbudget_nonstem_switcher query_id=q_9
[53/432] done variant=V2_synthesis_only_personalization persona=modbudget_nonstem_switcher query_id=q_9
[54/432] done variant=V1_generic_fanout persona=modbudget_nonstem_switcher query_id=q_10
[55/432] done variant=V4_personalized_fanout persona=modbudget_nonstem_switcher query_id=q_9
[56/432] done variant=V5_mixed_fanout persona=modbudget_nonstem_switcher query_id=q_9
[57/432] done variant=V0_generic_single persona=modbudget_nonstem_switcher query_id=q_11
[58/432] done variant=V2_synthesis_only_personalization persona=modbudget_nonstem_switcher query_id=q_10
[59/432] done variant=V3_fanout_only_personalization persona=modbudget_nonstem_switcher query_id=q_10
[60/432] done variant=V4_personalized_fanout persona=modbudget_nonstem_switcher query_id=q_10
[61/432] done variant=V5_mixed_fanout persona=modbudget_nonstem_switcher query_id=q_10
[62/432] done variant=V1_generic_fanout persona=modbudget_nonstem_switcher query_id=q_11
[63/432] done variant=V0_generic_single persona=modbudget_nonstem_switcher query_id=q_12
[64/432] done variant=V2_synthesis_only_personalization persona=modbudget_nonstem_switcher query_id=q_11
[65/432] done variant=V3_fanout_only_personalization persona=modbudget_nonstem_switcher query_id=q_11
[66/432] done variant=V4_personalized_fanout persona=modbudget_nonstem_switcher query_id=q_11
[67/432] done variant=V0_generic_single persona=highbudget_highstem_pro query_id=q_13
[68/432] done variant=V1_generic_fanout persona=modbudget_nonstem_switcher query_id=q_12
[69/432] done variant=V5_mixed_fanout persona=modbudget_nonstem_switcher query_id=q_11
[70/432] done variant=V2_synthesis_only_personalization persona=modbudget_nonstem_switcher query_id=q_12
[71/432] done variant=V3_fanout_only_personalization persona=modbudget_nonstem_switcher query_id=q_12
[72/432] done variant=V4_personalized_fanout persona=modbudget_nonstem_switcher query_id=q_12
[73/432] done variant=V5_mixed_fanout persona=modbudget_nonstem_switcher query_id=q_12
[74/432] done variant=V0_generic_single persona=highbudget_highstem_pro query_id=q_14
[75/432] done variant=V1_generic_fanout persona=highbudget_highstem_pro query_id=q_13
[76/432] done variant=V2_synthesis_only_personalization persona=highbudget_highstem_pro query_id=q_13
[77/432] done variant=V4_personalized_fanout persona=highbudget_highstem_pro query_id=q_13
[78/432] done variant=V5_mixed_fanout persona=highbudget_highstem_pro query_id=q_13
[79/432] done variant=V2_synthesis_only_personalization persona=highbudget_highstem_pro query_id=q_14
[80/432] done variant=V3_fanout_only_personalization persona=highbudget_highstem_pro query_id=q_13
[81/432] done variant=V1_generic_fanout persona=highbudget_highstem_pro query_id=q_14
[82/432] done variant=V0_generic_single persona=highbudget_highstem_pro query_id=q_15
[83/432] done variant=V3_fanout_only_personalization persona=highbudget_highstem_pro query_id=q_14
[84/432] done variant=V5_mixed_fanout persona=highbudget_highstem_pro query_id=q_14
[85/432] done variant=V4_personalized_fanout persona=highbudget_highstem_pro query_id=q_14
[86/432] done variant=V1_generic_fanout persona=highbudget_highstem_pro query_id=q_15
[87/432] done variant=V0_generic_single persona=highbudget_highstem_pro query_id=q_16
[88/432] done variant=V3_fanout_only_personalization persona=highbudget_highstem_pro query_id=q_15
[89/432] done variant=V2_synthesis_only_personalization persona=highbudget_highstem_pro query_id=q_15
[90/432] done variant=V4_personalized_fanout persona=highbudget_highstem_pro query_id=q_15
