variant,macro_domain,task_type,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean
V4_personalized_fanout,education,synthesis_sensitive,4.92,1.08,4.06,4.00,4.28,4.72,4.61,1.17,1.00,4.47,1.64,1.56,4.00,4.06,4.53,1.28,4.03,4.58,4.47,4.50,4.53,3.33,4.89,5.00,4.14,3.86,4.11,4.97
V0_generic_single,education,synthesis_sensitive,5.00,1.00,1.00,1.00,1.58,3.58,3.33,2.47,1.06,3.83,2.72,2.86,2.06,2.89,2.33,1.75,1.78,4.17,2.69,3.28,3.08,2.33,5.00,5.00,3.67,2.50,3.78,5.00
V3_fanout_only_personalization,education,synthesis_sensitive,4.94,1.08,3.69,3.61,3.83,4.56,4.17,1.22,1.08,4.39,1.69,1.72,3.36,3.81,3.64,1.50,3.25,4.53,3.83,4.22,4.22,3.11,4.94,5.00,4.25,3.53,4.14,4.86
V2_synthesis_only_personalization,education,retrieval_sensitive,4.81,1.00,1.69,2.83,2.56,4.50,4.44,1.28,1.08,4.33,1.81,1.83,3.83,4.17,4.39,1.58,3.81,4.44,4.28,4.31,4.22,3.06,5.00,5.00,4.08,3.03,4.31,4.97
V0_generic_single,education,retrieval_sensitive,5.00,1.00,1.00,1.00,1.25,3.53,3.39,2.47,1.00,3.83,2.78,2.72,2.36,3.47,3.03,2.08,2.22,4.03,3.11,3.53,3.19,2.61,5.00,5.00,3.94,2.56,4.28,5.00
V1_generic_fanout,education,retrieval_sensitive,4.75,1.00,1.67,3.03,2.61,4.50,3.69,1.44,1.11,4.03,1.81,1.75,2.75,3.61,3.44,2.08,2.53,4.28,3.61,3.81,4.25,2.89,5.00,5.00,3.97,2.75,4.33,5.00
V3_fanout_only_personalization,education,retrieval_sensitive,4.75,1.28,3.97,3.86,4.19,4.67,4.25,1.56,1.03,4.17,2.03,2.03,3.44,4.03,4.25,1.83,3.53,4.31,4.22,4.28,4.00,3.86,4.97,5.00,4.39,4.08,4.50,4.94
V4_personalized_fanout,education,retrieval_sensitive,4.83,1.25,3.86,3.89,4.17,4.69,4.64,1.33,1.25,4.14,1.69,1.69,4.06,4.36,4.69,1.28,4.22,4.36,4.61,4.67,4.42,3.72,4.83,4.92,4.42,4.03,4.39,4.86
V2_synthesis_only_personalization,education,synthesis_sensitive,4.92,1.00,2.17,3.11,2.86,4.50,4.28,1.36,1.00,4.19,1.86,1.86,3.47,3.67,3.97,1.39,3.33,4.36,4.00,3.97,4.14,2.69,5.00,5.00,3.89,2.75,4.14,5.00
V5_mixed_fanout,education,synthesis_sensitive,4.94,1.08,4.39,4.72,4.53,4.83,4.50,1.14,1.06,4.39,1.56,1.53,3.94,3.92,4.39,1.31,3.89,4.50,4.33,4.17,4.53,2.72,2.72,5.00,3.94,2.89,4.19,4.94
V5_mixed_fanout,education,retrieval_sensitive,4.92,1.22,3.58,4.06,4.00,4.44,4.58,1.31,1.28,4.14,1.67,1.61,4.21,4.56,4.62,1.31,4.32,4.36,4.51,4.62,4.44,3.31,3.36,4.89,4.06,3.25,4.28,4.92
V1_generic_fanout,education,synthesis_sensitive,4.92,1.00,1.81,3.00,2.78,4.53,3.75,1.53,1.14,4.08,2.08,2.08,2.53,3.11,2.92,1.83,2.36,4.25,3.22,3.58,3.89,2.64,4.94,5.00,3.81,2.72,3.86,5.00
