[run_batch] 432 runs planned.
[1/432] done variant=V0_generic_single persona=budget_highstem_phd query_id=q_3
[2/432] done variant=V0_generic_single persona=budget_nonstem_student query_id=q_4
[3/432] done variant=V0_generic_single persona=budget_nonstem_student query_id=q_2
[4/432] done variant=V0_generic_single persona=budget_nonstem_student query_id=q_1
[5/432] done variant=V0_generic_single persona=budget_nonstem_student query_id=q_5
[6/432] done variant=V2_synthesis_only_personalization persona=budget_nonstem_student query_id=q_2
[7/432] done variant=V1_generic_fanout persona=budget_nonstem_student query_id=q_2
[8/432] done variant=V1_generic_fanout persona=budget_highstem_phd query_id=q_3
[9/432] done variant=V2_synthesis_only_personalization persona=budget_highstem_phd query_id=q_3
[10/432] done variant=V3_fanout_only_personalization persona=budget_nonstem_student query_id=q_2
[11/432] done variant=V2_synthesis_only_personalization persona=budget_nonstem_student query_id=q_1
[12/432] done variant=V3_fanout_only_personalization persona=budget_highstem_phd query_id=q_3
[13/432] done variant=V4_personalized_fanout persona=budget_nonstem_student query_id=q_2
[14/432] done variant=V4_personalized_fanout persona=budget_highstem_phd query_id=q_3
[15/432] done variant=V2_synthesis_only_personalization persona=budget_nonstem_student query_id=q_4
[16/432] done variant=V3_fanout_only_personalization persona=budget_nonstem_student query_id=q_4
[17/432] done variant=V3_fanout_only_personalization persona=budget_nonstem_student query_id=q_1
[18/432] done variant=V5_mixed_fanout persona=budget_nonstem_student query_id=q_1
[19/432] done variant=V4_personalized_fanout persona=budget_nonstem_student query_id=q_1
[20/432] done variant=V1_generic_fanout persona=budget_nonstem_student query_id=q_4
[21/432] done variant=V4_personalized_fanout persona=budget_nonstem_student query_id=q_4
[22/432] done variant=V5_mixed_fanout persona=budget_nonstem_student query_id=q_4
[23/432] done variant=V1_generic_fanout persona=budget_nonstem_student query_id=q_5
[24/432] done variant=V1_generic_fanout persona=budget_nonstem_student query_id=q_1
[25/432] done variant=V5_mixed_fanout persona=budget_highstem_phd query_id=q_3
[26/432] done variant=V0_generic_single persona=budget_highstem_phd query_id=q_6
[27/432] done variant=V5_mixed_fanout persona=budget_nonstem_student query_id=q_2
[28/432] done variant=V0_generic_single persona=budget_highstem_phd query_id=q_7
[29/432] done variant=V2_synthesis_only_personalization persona=budget_nonstem_student query_id=q_5
[30/432] done variant=V4_personalized_fanout persona=budget_nonstem_student query_id=q_5
[31/432] done variant=V3_fanout_only_personalization persona=budget_nonstem_student query_id=q_5
[32/432] done variant=V0_generic_single persona=budget_highstem_phd query_id=q_8
[33/432] done variant=V0_generic_single persona=modbudget_nonstem_switcher query_id=q_9
[34/432] done variant=V5_mixed_fanout persona=budget_nonstem_student query_id=q_5
[35/432] done variant=V1_generic_fanout persona=budget_highstem_phd query_id=q_6
[36/432] done variant=V2_synthesis_only_personalization persona=budget_highstem_phd query_id=q_6
[37/432] done variant=V0_generic_single persona=modbudget_nonstem_switcher query_id=q_10
