variant,macro_domain,task_type,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean
V1_generic_fanout,education,synthesis_sensitive,4.92,1.00,2.36,3.58,3.47,4.86,4.11,1.03,1.00,4.25,1.03,1.03,2.86,3.33,3.17,1.83,2.81,4.42,3.61,3.75,3.81,1.14,4.89,5.00,1.19,1.14,1.22,5.00
V5_mixed_fanout,education,retrieval_sensitive,4.97,1.00,4.33,4.72,4.56,4.58,4.31,1.03,1.00,3.97,1.06,1.06,3.36,3.89,4.08,1.83,3.31,4.19,4.03,4.11,4.72,1.17,1.17,4.97,1.33,1.17,1.39,4.94
V2_synthesis_only_personalization,education,retrieval_sensitive,4.67,1.00,1.97,3.36,2.86,4.72,4.28,1.03,1.03,4.11,1.08,1.08,3.40,3.83,4.06,1.58,3.26,4.19,4.00,4.03,4.69,1.17,5.00,5.00,1.39,1.17,1.42,5.00
V5_mixed_fanout,education,synthesis_sensitive,4.97,1.03,4.47,4.72,4.58,4.58,4.92,1.03,1.00,4.56,1.06,1.06,4.35,4.28,4.61,1.06,4.28,4.72,4.78,4.61,3.83,1.31,1.22,5.00,1.42,1.31,1.39,4.97
V1_generic_fanout,education,retrieval_sensitive,4.69,1.00,2.00,3.22,2.92,4.67,3.53,1.06,1.00,3.81,1.06,1.06,2.33,3.28,3.03,2.58,2.06,4.03,3.19,3.42,4.36,1.24,4.89,5.00,1.42,1.25,1.50,5.00
V3_fanout_only_personalization,education,retrieval_sensitive,4.89,1.03,4.22,4.06,4.50,4.83,3.60,1.08,1.08,3.88,1.08,1.08,2.40,3.31,3.01,2.42,2.26,4.00,3.35,3.46,4.47,1.36,4.78,5.00,1.47,1.39,1.39,4.89
V4_personalized_fanout,education,synthesis_sensitive,4.94,1.08,4.72,4.42,4.89,4.78,4.81,1.03,1.06,4.47,1.08,1.08,4.14,4.14,4.56,1.14,4.19,4.58,4.67,4.53,4.19,1.31,4.78,5.00,1.39,1.33,1.39,4.97
V2_synthesis_only_personalization,education,synthesis_sensitive,4.86,1.00,2.31,3.58,3.56,4.94,4.83,1.06,1.03,4.56,1.08,1.08,4.00,4.11,4.53,1.11,4.06,4.64,4.64,4.50,3.97,1.14,4.67,5.00,1.28,1.17,1.28,5.00
V3_fanout_only_personalization,education,synthesis_sensitive,4.97,1.00,4.72,4.58,4.89,4.92,4.11,1.03,1.03,4.14,1.11,1.11,3.11,3.36,3.36,1.86,3.00,4.31,3.78,3.72,3.94,1.36,4.78,5.00,1.44,1.36,1.42,4.94
V0_generic_single,education,synthesis_sensitive,5.00,1.00,1.00,1.00,1.67,3.33,4.11,1.14,1.00,4.19,1.17,1.17,2.94,3.33,3.14,1.75,2.75,4.31,3.58,3.78,3.75,1.11,5.00,5.00,1.33,1.11,1.31,5.00
V0_generic_single,education,retrieval_sensitive,5.00,1.00,1.00,1.00,1.44,3.64,3.56,1.22,1.00,3.97,1.25,1.25,2.36,3.28,3.00,2.42,2.03,4.17,3.25,3.47,4.19,1.22,5.00,5.00,1.53,1.22,1.47,5.00
V4_personalized_fanout,education,retrieval_sensitive,4.86,1.11,4.31,4.22,4.53,4.78,4.33,1.06,1.00,4.06,1.17,1.17,3.54,3.93,4.06,1.58,3.33,4.25,4.11,4.19,4.56,1.39,4.33,4.97,1.47,1.42,1.44,4.92
