variant,task_type,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean
V2_synthesis_only_personalization,synthesis_sensitive,4.83,1.00,2.33,3.50,3.47,4.86,4.36,1.19,1.08,4.05,1.56,1.56,3.47,3.50,3.95,1.50,3.61,4.31,4.12,4.12,4.50,2.53,5.00,5.00,3.94,2.78,4.00,5.00
V3_fanout_only_personalization,synthesis_sensitive,4.97,1.06,4.67,4.42,4.83,4.92,4.50,1.28,1.06,4.17,1.69,1.64,3.81,3.75,4.19,1.22,3.86,4.44,4.31,4.36,4.39,3.56,5.00,5.00,4.25,4.03,4.31,4.94
V5_mixed_fanout,synthesis_sensitive,4.97,1.03,4.56,4.75,4.72,4.58,4.72,1.25,1.00,4.31,1.58,1.58,3.97,3.94,4.61,1.11,4.11,4.53,4.64,4.28,4.50,2.89,2.67,5.00,4.11,3.00,4.19,5.00
V4_personalized_fanout,retrieval_sensitive,4.94,1.03,4.33,4.14,4.64,4.89,4.36,1.44,1.08,3.88,1.92,1.92,3.72,4.03,4.39,1.50,3.83,4.10,4.50,4.25,4.28,3.92,5.00,5.00,4.36,4.19,4.42,5.00
V4_personalized_fanout,synthesis_sensitive,5.00,1.03,4.75,4.47,4.94,4.92,4.69,1.19,1.00,4.32,1.44,1.39,4.21,4.12,4.61,1.06,4.31,4.49,4.64,4.46,4.53,3.28,5.00,5.00,4.06,3.75,4.08,4.89
V2_synthesis_only_personalization,retrieval_sensitive,4.75,1.00,1.92,3.22,2.97,4.61,4.14,1.64,1.08,3.89,1.89,1.83,3.25,3.58,3.97,1.81,3.25,4.11,4.11,3.86,4.19,3.03,4.97,5.00,4.11,3.03,4.47,4.97
V3_fanout_only_personalization,retrieval_sensitive,4.94,1.08,4.36,4.06,4.58,4.83,4.25,1.53,1.00,3.89,2.03,1.94,3.36,3.58,4.14,1.72,3.61,4.06,4.31,4.03,4.06,3.89,4.75,4.97,4.47,4.22,4.44,4.94
V0_generic_single,retrieval_sensitive,5.00,1.00,1.00,1.00,1.39,3.50,3.43,2.44,1.11,3.58,2.75,2.75,2.35,2.93,3.03,1.86,2.18,3.83,3.33,3.31,3.11,2.67,5.00,5.00,3.69,2.69,4.11,5.00
V0_generic_single,synthesis_sensitive,5.00,1.00,1.00,1.00,1.67,3.53,3.50,2.47,1.00,3.92,2.89,2.83,2.36,2.86,2.69,1.81,2.22,4.17,2.97,3.22,3.00,2.57,5.00,5.00,3.72,2.61,3.78,5.00
V1_generic_fanout,synthesis_sensitive,4.89,1.00,2.25,3.53,3.42,4.86,3.89,1.36,1.00,3.89,1.86,1.89,2.78,2.94,3.31,1.81,2.53,4.19,3.56,3.42,4.17,2.75,4.89,5.00,3.81,2.81,3.97,4.97
V5_mixed_fanout,retrieval_sensitive,4.92,1.06,4.25,4.75,4.50,4.61,4.50,1.39,1.06,4.03,1.81,1.67,3.83,3.97,4.58,1.44,4.03,4.31,4.53,4.39,4.36,3.17,3.00,5.00,3.89,3.17,4.11,4.92
V1_generic_fanout,retrieval_sensitive,4.75,1.00,1.94,3.31,2.94,4.86,3.83,1.56,1.11,3.75,1.89,1.86,2.81,3.25,3.69,2.08,2.75,4.03,3.89,3.53,4.11,2.97,5.00,5.00,4.03,2.97,4.22,4.97
