variant,task_type,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean
V0_generic_single,synthesis_sensitive,5.00,1.00,1.00,1.00,1.67,3.42,3.22,2.14,1.00,3.69,2.81,2.94,2.11,2.61,2.28,1.50,1.86,3.94,2.58,3.03,3.08,2.42,5.00,5.00,3.67,2.44,3.75,5.00
V0_generic_single,retrieval_sensitive,5.00,1.00,1.00,1.00,1.50,3.47,2.94,2.56,1.03,3.56,2.97,2.97,2.14,2.61,2.81,1.72,1.86,3.89,3.06,3.03,2.86,2.67,5.00,5.00,3.83,2.67,4.14,5.00
V4_personalized_fanout,synthesis_sensitive,4.94,1.08,4.36,4.28,4.61,4.86,4.39,1.08,1.08,4.00,1.61,1.61,3.81,3.72,4.25,1.17,3.69,4.19,4.19,4.11,4.39,3.31,4.89,5.00,4.08,3.69,4.19,4.81
V2_synthesis_only_personalization,synthesis_sensitive,4.83,1.00,1.97,3.17,3.06,4.89,4.03,1.08,1.06,4.06,1.64,1.67,3.25,3.50,3.53,1.44,3.00,4.25,3.69,3.81,4.33,2.67,4.97,5.00,3.81,2.75,4.28,5.00
V4_personalized_fanout,retrieval_sensitive,4.75,1.28,4.14,3.81,4.25,4.72,4.28,1.17,1.11,3.97,1.53,1.56,3.83,3.94,4.39,1.31,3.86,4.11,4.28,4.22,4.50,3.75,5.00,5.00,4.44,4.14,4.36,4.81
V5_mixed_fanout,retrieval_sensitive,4.83,1.14,3.86,4.39,4.17,4.61,4.26,1.17,1.11,3.94,1.64,1.67,3.69,4.03,4.35,1.61,3.89,4.17,4.35,4.24,4.47,2.97,2.75,5.00,3.92,3.08,4.19,4.92
V3_fanout_only_personalization,retrieval_sensitive,4.75,1.36,4.22,4.08,4.28,4.67,3.83,1.19,1.14,3.58,1.81,1.81,3.08,3.44,3.92,1.72,3.22,3.94,3.97,3.75,4.22,3.75,4.86,5.00,4.44,4.03,4.42,4.89
V1_generic_fanout,synthesis_sensitive,4.78,1.00,1.94,3.33,2.89,4.89,3.78,1.14,1.03,3.94,1.72,1.78,2.78,3.06,2.97,1.78,2.50,4.22,3.31,3.58,4.33,2.61,4.94,5.00,3.69,2.67,4.08,5.00
V3_fanout_only_personalization,synthesis_sensitive,4.89,1.22,4.36,4.11,4.56,4.81,4.28,1.03,1.00,4.19,1.64,1.67,3.61,3.69,3.81,1.39,3.53,4.44,3.94,3.94,4.33,3.33,4.97,5.00,4.22,3.83,3.97,4.81
V1_generic_fanout,retrieval_sensitive,4.50,1.00,1.53,2.94,2.47,4.61,3.42,1.14,1.19,3.58,1.81,1.78,2.46,2.97,3.15,2.42,2.25,3.89,3.44,3.25,4.25,2.72,5.00,5.00,3.81,2.72,4.33,5.00
V2_synthesis_only_personalization,retrieval_sensitive,4.44,1.00,1.58,3.03,2.53,4.67,3.94,1.11,1.17,3.86,1.72,1.64,2.97,3.58,3.83,1.94,2.97,4.19,3.92,3.89,4.33,2.74,4.97,5.00,3.72,2.81,4.33,5.00
V5_mixed_fanout,synthesis_sensitive,4.92,1.14,4.25,4.56,4.33,4.75,4.28,1.03,1.11,4.11,1.53,1.56,3.69,3.81,4.14,1.36,3.67,4.31,4.14,4.11,4.53,3.00,3.00,5.00,4.00,3.11,4.14,4.94
